date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/02/1963,6730835,6370428,10002231,13660004,15113420,29356920,30221736,35155021,51491302,185407255
07/03/1963,6758955,6508784,10053317,13745541,15141641,29567012,30431648,35406283,51813630,187215958
07/05/1963,6809194,6556788,10105028,13832880,14970458,29684436,30532229,35672159,52089047,188605288
07/08/1963,6821985,6596482,10133448,13861508,15254919,29712053,30569809,35842967,52274583,189328788
07/09/1963,6785920,6549983,10089500,13756298,15186261,29615491,30467786,35727914,52171055,187894059
07/10/1963,6821654,6575823,10176285,13820883,15263057,29681479,30738171,35869489,52324241,188755761
07/11/1963,6790470,6571796,10178130,13756708,15233850,29588516,30757530,35826737,52227639,188372281
07/12/1963,6818050,6558659,10143376,13766935,15264233,29539107,30797134,35870921,52078677,187857734
07/15/1963,6834222,6570370,10116931,13770460,15236931,29490536,30884711,35880321,51975615,187526621
07/16/1963,6804186,6520031,10056111,13676358,15150462,29363757,30670271,35655667,51740323,186304769
07/17/1963,6779355,6497546,10046893,13622873,15108157,29394531,30642980,35478342,51767195,186300399
07/18/1963,6754231,6469359,9986640,13576640,15034118,29322988,30504670,35376575,51573167,185846298
07/19/1963,6697019,6384165,9897779,13502444,14954120,29203343,30361601,35261882,51313211,184783711
07/22/1963,6664787,6403304,9867005,13473836,14907624,29219460,30223034,35087916,51307853,184443285
07/23/1963,6628184,6344252,9836298,13403470,14822997,28988503,29978544,34850873,50965862,183187318
07/24/1963,6621936,6328761,9794597,13346856,14739475,28982927,29965662,34883394,51078003,183297493
07/25/1963,6640575,6327557,9824470,13473239,14802952,29076662,30079731,35027501,51249172,184297753
07/26/1963,6646521,6352678,9823238,13510634,14821676,29086117,30005265,34982783,51431492,184064349
07/29/1963,6644940,6367084,9845459,13529166,14853828,29124710,30098719,35045038,51498731,185051851
07/30/1963,6643355,6372167,9817354,13536447,14878763,29064116,30008803,35099028,51602118,185443959
07/31/1963,6652026,6419338,9900621,13571182,14949451,29270728,30220955,35275289,51804407,187588851
08/01/1963,6799822,6563699,10269830,10467985,18103959,26482852,27976328,35724477,54103791,188832299
08/02/1963,6772533,6537012,10249290,10454614,18093953,26509509,27998755,35737284,54042279,188626979
08/05/1963,6785560,6551604,10258700,10449086,18143932,26570513,28083653,35962585,54235882,189143223
08/06/1963,6783013,6547855,10304604,10483818,18247244,26691794,28249612,36187686,54423959,190360008
08/07/1963,6783696,6512694,10226460,10501355,18304014,26758001,28419445,36325530,54819335,191734756
08/08/1963,6780777,6489762,10297928,10504292,18311949,26846363,28385976,36289466,54783751,190898098
08/09/1963,6748751,6507467,10286791,10514167,18350450,26884076,28328819,36333498,54805362,191393507
08/12/1963,6762646,6532367,10284723,10573927,18441130,27045309,28419295,36537885,55226381,192673979
08/13/1963,6812083,6547090,10364160,10622081,18468008,27125134,28538028,36707810,55383799,192638219
08/14/1963,6816908,6519638,10395844,10620711,18580193,27225355,28564848,35976173,55424827,193332828
08/15/1963,6817656,6526157,10406232,10647249,18599120,27317113,28648039,36948012,55590304,194014149
08/16/1963,6843651,6535510,10428635,10682257,18716650,27471019,28760205,37203013,55832879,194758697
08/19/1963,6836195,6566568,10461324,10716474,18749069,27555495,28709881,37220357,56055180,194947403
08/20/1963,6822339,6559155,10471865,10751703,18720170,27591048,28657675,37225034,56036001,194828916
08/21/1963,6826013,6560253,10483128,10713731,18726225,27566352,28701819,37366618,56047160,194405730
08/22/1963,6811862,6569323,10525242,10720570,18732193,27485220,28708113,37363422,56007182,193953765
08/23/1963,6839751,6629480,10583909,10719406,18776960,27638158,28891500,37459524,56338569,194654966
08/26/1963,6863801,6634896,10624620,10739905,18898364,27718633,28920613,37525801,56649180,195333760
08/27/1963,6909508,6620813,10612664,10781489,18953780,27836215,28980610,37592716,56901788,195486207
08/28/1963,6881969,6610194,10551304,10747599,18895037,27682322,28875192,37393565,56606416,194293449
08/29/1963,6948255,6638357,10658268,10815137,19095790,27841216,29040681,37775952,56985088,195701795
08/30/1963,6965637,6660657,10650903,10856235,19220702,27925969,29219396,37775055,57150787,195833076
09/03/1963,7116011,6721096,9976857,10696908,18701383,28140909,31313698,35046556,56809691,199867552
09/04/1963,7133317,6762747,10044228,10694381,18737802,28167603,31311752,35156113,56964345,200305880
09/05/1963,7135532,6752672,10109428,10672904,18813694,28330784,31370360,34969600,56937692,200015186
09/06/1963,7128467,6778242,10209633,10705109,18613406,28465520,31430912,35199431,57186205,201177467
09/09/1963,7075841,6757945,10213065,10637787,18482035,28209381,31322555,35020956,57093668,200926553
09/10/1963,7086245,6717886,10099850,10596637,18402809,28182335,31161395,34856824,57032116,200163028
09/11/1963,7113301,6720095,10179370,10624616,18476671,28339782,31260296,34989532,57466558,201201949
09/12/1963,7111859,6710688,10216706,10630869,18570037,28365481,31398660,34963893,57644913,201825136
09/13/1963,7107739,6711221,10201010,10603495,18622117,28363587,31422854,34809487,57483031,201732804
09/16/1963,7154003,6753315,10216495,10627475,18622726,28403751,31412523,34859942,57382149,201776077
09/17/1963,7162003,6736327,10201311,10588590,18549109,28299915,31390678,34656210,57265747,201713395
09/18/1963,7146094,6743808,10168312,10638204,18537260,28283668,31378082,34614541,57308499,201938274
09/19/1963,7113322,6741160,10138493,10596357,18446272,28167873,31169011,34498616,56997217,201179745
09/20/1963,7120915,6784843,10190307,10634906,18480449,28297403,31391943,34610149,57235342,202465831
09/23/1963,7146326,6777768,10165986,10645304,18463117,28311956,31371269,34601004,57295035,202673651
09/24/1963,7107462,6714200,10095642,10567502,18386277,28139962,31194797,34464184,56927337,201849418
09/25/1963,7081957,6691635,10078019,10580344,18481175,28154125,31232261,34385942,56945559,203290299
09/26/1963,7035605,6637436,9978190,10528895,18348292,28051521,31025667,34183421,56502245,202287650
09/27/1963,6991092,6590790,9939720,10453677,18252421,27832699,30831017,33968263,56005968,200455458
09/30/1963,7010024,6631249,9964785,10394023,18262723,27891120,30698771,33941591,55833000,199965045
10/01/1963,6813638,6174326,10129255,11455101,16955731,26743589,31643901,41719728,52001003,195081720
10/02/1963,6839118,6191538,10206601,11493719,17066374,26808065,31882212,41801992,52293640,196634106
10/03/1963,6844947,6184869,10207233,11487562,17080863,26817331,31899029,41928419,52372254,196930828
10/04/1963,6889097,6224716,10347359,11556285,17132162,26978669,32061889,42243233,52779481,198259623
10/07/1963,6904371,6223646,10317313,11492729,17176843,26876279,32107916,42351869,52661432,198358189
10/08/1963,6860091,6232398,10199130,11446326,17140945,26836456,32084315,42094143,52535111,197969161
10/09/1963,6883824,6248761,10352043,11431913,17153467,26802505,32062065,41930033,52557177,197579794
10/10/1963,6852570,6217320,10316332,11376453,17077867,26664709,31916632,41518099,52156967,196551719
10/11/1963,6847491,6243362,10293793,11350080,17103651,26717667,31888128,41375396,52280239,196855101
10/14/1963,6897435,6264819,10320061,11412993,17146408,26692046,31970613,41456661,52366718,197015321
10/15/1963,6931955,6241912,10369716,11375980,17115847,26710041,32051594,41327289,52321095,197221899
10/16/1963,6907106,6236679,10357618,11372199,17158177,26737226,31977449,41453995,52424766,197640303
10/17/1963,6948914,6284575,10404002,11456714,17224743,26938929,32200920,41827934,52845267,199813935
10/18/1963,6934114,6308781,10415410,11497344,17274347,26913791,32176500,41736411,52914511,200141243
10/21/1963,6996416,6335145,10457415,11490424,17314638,26901133,32297858,41903878,52886957,200351024
10/22/1963,6979133,6317768,10416675,11482035,17278131,26859608,32301211,41790533,52843153,200724923
10/23/1963,6934298,6251558,10398630,11300239,17234959,26656551,32154466,41488548,52533032,199713757
10/24/1963,6931865,6257320,10395238,11427937,17274645,26627858,32118521,41535661,52566590,199879908
10/25/1963,6929907,6271683,10388768,11489642,17279393,26695892,32209690,41650143,52693628,200813143
10/28/1963,6956499,6281413,10364022,11530888,17301626,26581438,32200833,41815321,52794557,204056475
10/29/1963,6920905,6250689,10368585,11430146,17314383,26481762,32245695,41704784,52966118,205960140
10/30/1963,6900692,6245698,10258601,11403114,17239870,26450378,32167030,41817927,53073543,205839448
10/31/1963,6852205,6231602,10256201,11371426,17157753,26360930,32125663,41527386,52657457,203582397
11/01/1963,6859004,6334155,9620441,11445572,18812221,28724448,31666691,38248842,50535704,206977755
11/04/1963,6862040,6314677,9640549,11472937,18772392,28665331,31698107,38138614,50641155,206218504
11/06/1963,6811461,6318432,9618427,11444635,18734049,28547191,31593042,38104137,50330090,205040943
11/07/1963,6746684,6290744,9589697,11375958,18581653,28397646,31371310,37863475,49994667,202983413
11/08/1963,6797750,6294896,9656854,11440818,18697839,28523132,31539512,37982968,50137638,203487263
11/11/1963,6786103,6317551,9749028,11486437,18781515,28633014,31620892,38216896,50323187,204255040
11/12/1963,6808498,6349726,9838389,11556211,18832943,28719014,31641269,38333098,50409813,204332670
11/13/1963,6783785,6320541,9772315,11526374,18815061,28582345,31479653,38054183,50323574,203538989
11/14/1963,6801748,6348543,9749767,11535928,18807159,28587888,31449478,37944351,50281160,203897432
11/15/1963,6803632,6351913,9707427,11482670,18826893,28556482,31262987,37811120,50216530,202683645
11/18/1963,6762107,6304188,9668470,11450198,18759858,28532202,31200182,37663066,49991750,200492000
11/19/1963,6719936,6250163,9572408,11363603,18658282,28345175,31044606,37309397,49544273,199045459
11/20/1963,6716879,6256543,9576348,11325734,18617428,28319561,31067945,37401885,49552206,199445477
11/21/1963,6678763,6221002,9561272,11310046,18621360,28391284,31161956,37522845,49605171,202234610
11/22/1963,6581692,6153685,9438933,11159252,18502880,27977720,30922723,37134035,49121708,197788130
11/26/1963,6300844,5875865,8940151,10648316,18062651,27160775,29981280,36145802,47626147,191331929
11/27/1963,6487235,6126724,9502461,11235609,18471245,28170838,30819208,37151346,49398907,200530341
11/29/1963,6510179,6124412,9481436,11265868,18564441,28116246,30687936,37125622,49203548,200180809
12/02/1963,6988598,5613579,9460591,10946249,15102526,31134525,31792118,38808272,51797408,200994480
12/03/1963,6876563,5567120,9489966,10789673,15113037,31236797,31852436,39047270,52072605,202423550
12/04/1963,6935016,5570454,9492290,10926589,15122740,31245364,31935026,38988939,51898418,202365734
12/05/1963,6915322,5566000,9436136,10815066,15142166,31325353,31911830,39182892,52189140,202603153
12/06/1963,6921026,5584443,9515611,10853512,15121778,31655685,31992529,39414746,52357089,204233088
12/09/1963,6948816,5556744,9480977,10827083,15110808,31440553,31976625,39461564,52431986,203115405
12/10/1963,6908057,5499364,9456246,10815008,15059455,31484249,31822396,39425912,52328465,203172536
12/11/1963,6892641,5485050,9470047,10842900,15028732,31455996,31875411,39415513,52408039,203322413
12/12/1963,6854033,5523181,9508459,10818545,14982058,31439954,31899268,39410972,52337108,202806146
12/13/1963,6820615,5516411,9536525,10826095,14996113,31390858,31934793,39442422,52311740,202761029
12/16/1963,6828918,5545677,9550463,10814010,15023915,31394641,31941778,39484325,52492036,203155482
12/17/1963,6834132,5533462,9499262,10792339,15077062,31419673,32073590,39490307,52589851,203958010
12/18/1963,6794065,5527024,9562120,10796153,15082943,31398575,32149373,39574244,52800861,205466153
12/19/1963,6782350,5493179,9533708,10782524,15093583,31397457,32212082,39595108,52830315,204696899
12/20/1963,6779092,5459350,9524762,10733704,15009110,31258236,32139471,39597605,52486373,204160175
12/23/1963,6738402,5438107,9504791,10705853,14922344,31148718,32139054,39471989,52428544,203731167
12/24/1963,6725649,5420792,9471053,10658191,14899688,30922467,32119655,39296128,52108062,202289388
12/26/1963,6756027,5429752,9476031,10724594,14917889,30963294,32057753,39343522,52104059,203022057
12/27/1963,6814712,5473502,9550443,10786757,15041240,31209095,32255868,39451036,52211924,203949455
12/30/1963,6860650,5497101,9547834,10810738,15037096,31237720,32334727,39509354,52364580,204216131
12/31/1963,6791727,5477961,9535209,10784531,15038772,31104259,32246244,39645915,52409509,204824329
01/02/1964,6904627,5796865,8852148,11294144,15723175,32677305,27356963,41223375,54666716,208217409
01/03/1964,7066063,5877430,8977388,11377888,15801694,32953450,27549418,41206630,55043726,208893533
01/06/1964,7116619,5891111,9009360,11345281,15857711,33033917,27616205,41413514,55312244,208926020
01/07/1964,7183526,5918197,9012396,11329571,15973031,33149870,27775965,41515100,55517512,209316073
01/08/1964,7222620,5914933,9015940,11339189,15988460,33164890,27931336,41601955,55678735,209108469
01/09/1964,7268879,5940243,9029924,11427081,16014748,33213661,27947360,41627152,55919241,209950011
01/10/1964,7262361,5936011,9039523,11392978,16052063,33259970,27923253,41645495,55926500,211187759
01/13/1964,7236631,5936420,9018454,11380784,16057074,33217998,27775494,41784517,55855303,211038575
01/14/1964,7215985,5924560,8990285,11377390,16108043,33197528,27976516,41707290,55963316,210613176
01/15/1964,7208065,5918399,8952860,11341435,16140430,33222607,28032730,41693684,56118262,211181426
01/16/1964,7201817,5903711,8936831,11303951,16162855,33305173,28068506,41718629,56128730,212101497
01/17/1964,7197617,5885402,8943753,11323094,16080050,33343187,27976700,41759095,56128011,211742246
01/20/1964,7234023,5891784,8964744,11345123,16151635,33483144,27971077,41603281,55976398,211773051
01/21/1964,7220379,5866436,8920591,11308382,16055749,33412802,27802848,41393285,55664511,211842035
01/22/1964,7186449,5862795,8925283,11320746,16063279,33492753,27823643,41507606,55832403,212548357
01/23/1964,7225650,5881570,8950254,11300693,16178259,33585497,27954073,41849021,56074953,213684278
01/24/1964,7223238,5873050,8955936,11360046,16210841,33633089,27996247,41833618,56216706,213769208
01/27/1964,7224453,5889963,8999645,11386910,16295867,33624787,27999079,41822417,56168776,213844987
01/28/1964,7216620,5875103,8969705,11360294,16197852,33482454,27905512,41780716,56224612,213925178
01/29/1964,7191083,5852685,8983059,11336923,16123298,33355309,27808513,41761435,56101734,214328555
01/30/1964,7168190,5840637,8926672,11250332,16078915,33206500,27796485,41590656,55741835,212852915
01/31/1964,7123365,5836481,8922908,11237866,16073269,33140390,27727929,41542720,55658028,213364215
02/03/1964,7376743,5737937,8984071,11935676,15790944,32586030,28751151,35680085,60144439,218465688
02/04/1964,7421650,5699065,8978796,11954252,15778830,32635344,28833431,35755617,60274595,218068439
02/05/1964,7378816,5701215,8971059,11909092,15732012,32649915,28773275,35757204,60111071,217609446
02/06/1964,7396392,5698367,8969609,11926575,15769880,32620451,28896501,35595481,60135514,216919050
02/07/1964,7396267,5714676,8973627,11960962,15785968,32690810,29063627,35809846,60238015,217469410
02/10/1964,7403061,5735781,9000104,11999050,15778372,32727713,29110112,36020613,60392285,218337492
02/11/1964,7370472,5720705,8996046,11932513,15722342,32620440,29049788,36112309,60341420,217829528
02/12/1964,7382921,5746338,8983527,11995030,15800760,32812724,29162130,36148397,60350547,218862942
02/13/1964,7421101,5752278,9018229,12005524,15870179,32911415,29268438,36198128,60445434,219704194
02/14/1964,7419886,5747154,9007074,11986698,15896351,32810215,29293366,36211024,60397333,221427699
02/17/1964,7432618,5762375,8985044,11985551,15942888,32820619,29318225,36230140,60365140,221253478
02/18/1964,7405211,5763486,8903580,11961119,15953087,32798070,29311245,36227518,60484044,221242419
02/19/1964,7383988,5752754,8957898,11971744,15966407,32782726,29250023,36127613,60723320,221213459
02/20/1964,7394990,5768600,8956491,11983423,15960636,32835287,29401629,36266361,60765235,221311355
02/24/1964,7396814,5790838,8967371,12026025,16028812,32871501,29447374,36351224,60867684,221327973
02/25/1964,7406923,5794410,8978343,12002981,16069789,32895286,29485275,36483837,61050788,221391764
02/26/1964,7452215,5802589,8938519,11996779,16066042,32853891,29496342,36448915,61086773,221273738
02/27/1964,7488769,5818641,8947020,12012353,16104232,33003083,29635711,36558929,61209612,221731534
02/28/1964,7455465,5812435,8942516,12016076,16077775,32965378,29581068,36549735,61137826,220705672
03/02/1964,7636579,5870909,10199254,10834594,16655504,33748604,32744279,35259796,62598827,216904699
03/03/1964,7636203,5901174,10205041,10859180,16635079,33836515,32768233,35347821,62864995,217365202
03/04/1964,7600361,5881398,10198548,10877484,16648441,33887086,32800484,35356364,62842803,218420738
03/05/1964,7609092,5882315,10221608,10879534,16597295,33838045,32755989,35175676,62718152,217940938
03/06/1964,7610620,5873280,10200810,10890895,16585407,33921454,32733015,35297905,62824561,217618065
03/09/1964,7679408,5928226,10259936,10938230,16627198,34003876,32909614,35374271,62959914,218337549
03/10/1964,7713054,5937935,10252138,10966770,16591580,33959840,32959422,35459073,62999127,218280879
03/11/1964,7722720,5936782,10221867,10952803,16620373,34094107,32971988,35484966,63051860,219204431
03/12/1964,7728775,5904364,10230876,10932950,16609283,34255994,33067355,35579801,63295162,220396711
03/13/1964,7718393,5909243,10227926,10945230,16627347,34267201,33154991,35635581,63467571,220794799
03/16/1964,7729156,5941179,10292102,10970743,16670355,34371422,33270141,35582631,63406527,220779396
03/17/1964,7725288,5947619,10314963,10964721,16723125,34336496,33165070,35551731,63733836,220870337
03/18/1964,7723359,5954300,10318306,10995885,16730092,34382143,33209578,35693222,63898499,221243941
03/19/1964,7744028,5953372,10373093,11023379,16761336,34446531,33197965,35869570,64300211,220974079
03/20/1964,7762016,5946518,10394630,11015005,16762887,34431611,33250185,35719116,64330301,220765263
03/23/1964,7761792,5945691,10364070,11026094,16669748,34289338,33187952,35624027,64078032,219590534
03/24/1964,7803714,5945048,10360977,11021950,16680311,34312545,33157146,35619941,63997319,219746824
03/25/1964,7797636,5940963,10341734,11003593,16633804,34320254,33072303,35648970,64054602,219130322
03/26/1964,7746504,5911924,10376045,11092359,16717704,34450825,33135557,35799018,64187235,219468345
03/30/1964,7837607,6008530,10469157,11127723,16767926,34578790,33331117,35932333,64266385,219844190
03/31/1964,7844582,5990679,10463706,11120256,16787306,34683196,33380659,35904593,64199853,219422816
04/01/1964,8284506,6016214,9734474,10386220,23409242,27314358,32323491,44255770,59903983,217882359
04/02/1964,8337286,6059878,9802400,10442041,23505692,27351627,32542931,44492899,60054678,218440817
04/03/1964,8404827,6086748,9892885,10498330,23635715,27522352,32692979,44690993,60407829,219741836
04/06/1964,8463306,6110631,9923439,10453654,23678609,27661397,32776052,44733471,60406211,220368310
04/07/1964,8485794,6127256,9965268,10526806,23683551,27643980,32944096,44743545,60521306,220234537
04/08/1964,8459448,6122117,9933413,10492781,23683147,27657580,32767698,44477981,60319692,219553891
04/09/1964,8495166,6073701,9966515,10525800,23670117,27671077,32706361,44673268,60212957,219385246
04/10/1964,8472510,6118844,9949840,10534888,23719315,27649929,32610347,44848376,60303721,219403042
04/13/1964,8521987,6132965,9974772,10565297,23736763,27715411,32623960,44950113,60408573,219827100
04/14/1964,8512719,6147789,9964630,10583613,23716558,27720209,32602082,45052764,60449000,219423219
04/15/1964,8512840,6159515,9962273,10552956,23743767,27694482,32518481,45027108,60618634,220259143
04/16/1964,8574104,6148425,9931482,10543570,23686017,27741741,32395387,45098750,60810588,220645257
04/17/1964,8431272,6146837,9940596,10607738,23698824,27704991,32409292,45035519,60770082,221117618
04/20/1964,8558353,6142853,9948780,10675713,23751641,27714265,32528059,44997016,60982199,222420663
04/21/1964,8567786,6131878,9912361,10692963,23711380,27656425,32525229,44883268,60948434,222402278
04/22/1964,8564766,6113240,9936458,10646714,23621745,27568049,32510991,44811356,61131828,222541990
04/23/1964,8602657,6088261,9949121,10707339,23602319,27535413,32478651,44766578,61122812,222414364
04/24/1964,8607566,6051400,9932252,10668499,23552477,27444225,32361452,44736834,60883666,222340358
04/27/1964,8499951,6002910,9841187,10607195,23444576,27279328,32083522,44236022,60554388,220591550
04/28/1964,8460250,5958872,9741862,10565950,23393453,27135773,31956817,43964995,60127222,219472878
04/29/1964,8423160,5988386,9827176,10649239,23491510,27250053,32072909,44277635,60499097,221076573
04/30/1964,8391215,5941777,9762764,10635780,23331567,27158538,31848746,43935466,60290997,220446624
05/01/1964,8192272,6572972,8361836,12088013,22133538,30285379,31202776,40547142,61682369,221901034
05/04/1964,8272933,6611251,8410865,12137706,22229061,30442681,31424674,40767133,61922042,224198275
05/05/1964,8323725,6623444,8415355,12164558,22266767,30528196,31592273,41121392,62049225,225358220
05/06/1964,8286874,6618528,8424094,12170473,22276677,30628296,31654854,41210619,62213961,226781569
05/07/1964,8267772,6612739,8428930,12182397,22260998,30708825,31689405,41360370,62534404,227121305
05/08/1964,8271149,6624987,8422672,12214625,22337299,30726346,31759557,41615137,62710150,227013965
05/11/1964,8266609,6599458,8423483,12233533,22325854,30623797,31727618,41614756,62612183,226496799
05/12/1964,8241638,6594468,8403887,12209929,22328015,30551887,31748240,41539903,62553604,226332711
05/13/1964,8313644,6584099,8385964,12178277,22434264,30530578,31879031,41570811,62698844,227250657
05/14/1964,8309370,6555414,8361904,12154356,22360192,30464874,31836577,41385038,62450655,226798385
05/15/1964,8341202,6563037,8378612,12097139,22390453,30453768,31849148,41378956,62415980,226312238
05/18/1964,8319371,6617264,8378676,12158709,22427276,30463695,31901251,41380666,62627097,226598432
05/19/1964,8268353,6554850,8356374,12125754,22371505,30350847,31809000,41106899,62570568,225636369
05/20/1964,8272718,6573183,8339338,12074275,22295641,30313707,31659377,41067572,62207296,224608223
05/21/1964,8297798,6579365,8343491,12116079,22400437,30401097,31814581,41194894,62331689,225705399
05/22/1964,8276219,6586077,8329740,12137360,22428441,30317221,31776209,41216164,62300483,226166919
05/25/1964,8280087,6586669,8343434,12142400,22311960,30329220,31723577,41131374,62292358,226477832
05/26/1964,8282357,6552592,8340503,12129471,22387737,30238625,31640117,41123226,62318815,225808263
05/27/1964,8244758,6529338,8340433,12095970,22408541,30131627,31625524,40949197,62151335,225453951
05/28/1964,8219854,6491744,8343207,12041901,22463406,30128787,31535614,40813169,62160729,225091136
06/01/1964,8488196,6428885,8204926,12523665,23220975,28439630,32353116,43390030,65469671,220146938
06/02/1964,8447474,6401151,8177956,12499097,23225639,28423709,32251904,43309130,65419955,218987651
06/03/1964,8394090,6350439,8166879,12408925,23143339,28288438,32109103,43090319,64995293,217852977
06/04/1964,8373212,6338017,8156839,12384201,23137262,28221913,31859666,42957685,64845779,217170467
06/05/1964,8289675,6256840,8094433,12281957,22943424,27966112,31879281,42568415,64325784,214540712
06/08/1964,8327673,6296799,8127381,12307601,22955150,28155293,32005617,42677281,64429828,215633294
06/09/1964,8274281,6276985,8089375,12246166,22771905,28048807,31915283,42551733,64174942,214542489
06/10/1964,8293918,6320290,8108110,12261030,22991656,28227316,32019748,42736448,64480513,215937614
06/11/1964,8332768,6328296,8138765,12328565,23069728,28249137,32085780,42968715,64759542,216734379
06/12/1964,8347668,6320058,8169423,12336156,23090952,28344015,32072243,42955081,65033340,217581792
06/15/1964,8336889,6286627,8163133,12304981,22905745,28304326,32082577,43184836,64898109,216921256
06/16/1964,8343381,6323720,8198555,12359685,22980353,28378085,32245054,43414869,65322964,217890729
06/17/1964,8375630,6358455,8238093,12434247,23035246,28496023,32320831,43659848,65650486,219184153
06/18/1964,8426555,6385523,8278659,12523443,23282338,28679140,32431401,43824359,66021309,220307984
06/19/1964,8397382,6375617,8266861,12525737,23275804,28673031,32532069,43818448,65930194,220368908
06/22/1964,8448632,6391249,8267303,12524463,23345471,28775504,32543021,43930742,65690772,220569644
06/23/1964,8487665,6423524,8312257,12515407,23416556,28702020,32705299,43957277,66008150,221358756
06/24/1964,8414703,6399570,8295438,12538998,23311501,28605726,32623270,43929252,65808487,220303659
06/25/1964,8453664,6390664,8275030,11632304,23331619,28623087,32697178,43910192,65995042,221396927
06/26/1964,8451618,6417702,8323787,12587776,23347095,28618656,32810827,44036539,66105847,221909083
06/29/1964,8472453,6453436,8354590,12614457,23515152,28707175,32880545,44133728,65919673,222729736
06/30/1964,8497384,6462720,8356023,12590703,23432255,28806685,33008656,44270974,66143345,223206875
07/01/1964,8432211,6214993,8792436,12522834,24292771,27648891,29783521,49426795,56623772,231153931
07/02/1964,8453382,6212685,8843344,12592218,24379830,27784041,29978654,49720981,57166637,232606389
07/06/1964,8485515,6224612,8898886,12662896,24496909,27853498,30074782,49771640,57193234,233909121
07/07/1964,8498376,6224154,8938399,12676862,24557014,27892622,30122345,49966912,57453266,235138928
07/08/1964,8487043,6214741,8940576,12686365,24582985,28003793,30156883,50014734,57585460,235471271
07/09/1964,8493578,6220380,8957888,12702950,24638215,28033577,30177768,50333271,57819065,234920733
07/10/1964,8518383,6278086,9004945,12711091,24668838,28042619,30181427,50512674,58046793,234988752
07/13/1964,8514235,6290600,9046561,12717827,24693038,28131441,30275145,50646839,58265336,235197272
07/14/1964,8510623,6291187,9042295,12757022,24695843,28183441,30314104,50587911,58318388,234911421
07/15/1964,8521488,6286225,9043448,12756456,24666954,28156260,30261814,50515108,58180084,233923466
07/16/1964,8570334,6300210,9077723,12797548,24731561,28243233,30356985,50608772,58229597,235096728
07/17/1964,8572963,6341429,9084449,12796421,24879197,28233479,30324123,50817525,58437097,236011159
07/20/1964,8609988,6359850,9077190,12819040,24963752,28369115,30465879,51171892,58562936,237228694
07/21/1964,8589131,6327287,9086731,12805795,24898664,28333815,30418519,51131274,58405456,236200582
07/22/1964,8568986,6322148,9063492,12775156,24904799,28282065,30385373,51047488,58350628,235671068
07/23/1964,8612003,6324123,9051047,12765854,24934220,28255946,30383909,51205178,58461916,235540964
07/24/1964,8625094,6334355,9043932,12768601,24934220,28219597,30393050,51252958,58458821,235378421
07/27/1964,8672217,6335948,9045064,12739457,24930773,28229569,30324011,51058554,58433901,235440366
07/28/1964,8575505,6312237,8997391,12709213,24852632,28090174,30216837,50711374,58187066,234417913
07/29/1964,8581258,6273470,8973053,12704319,24874603,28010677,30179743,50714452,58007844,233597800
07/30/1964,8597087,6275633,8974922,12736743,24885427,28167944,30339564,50716357,58126672,233684027
07/31/1964,8623179,6298691,8921953,12739154,24940462,28261677,30425320,50716259,58129063,234089224
08/03/1964,8587280,6907594,9068007,13194167,22531730,31765382,30555346,45952241,63596796,232360314
08/04/1964,8533591,6858142,9046890,13156972,22532928,31663540,30524055,45854955,63510627,231724248
08/05/1964,8428793,6777384,8954281,13034717,22327479,31275734,30214673,45345808,62625310,228961600
08/06/1964,8444068,6794976,8975012,13021970,22322846,31315600,30130308,45331552,62830669,229277729
08/07/1964,8396578,6742300,8911170,12922128,22189438,31058196,29903563,45088367,62322168,226992132
08/10/1964,8455892,6754323,8956582,12955028,22194021,31201087,29972378,45208636,62576485,228732793
08/11/1964,8447941,6760790,8970142,13014572,22311900,31264177,30011296,45374641,62613977,228329416
08/12/1964,8438380,6764248,8967684,13030057,22313722,31265964,30103008,45359634,62601298,228112878
08/13/1964,8468365,6804094,9000226,13087830,22347158,31451316,30276933,45580516,62961101,229245339
08/14/1964,8483857,6834770,9014256,13149614,22355854,31533785,30310909,45646189,63208042,229996829
08/17/1964,8503472,6837603,9009929,13111933,22338036,31448154,30376259,45561585,63041907,229700093
08/18/1964,8473147,6799709,9007724,13146127,22328753,31390294,30324101,45430503,63044831,229935368
08/19/1964,8468885,6815923,9020211,13162801,22351107,31412488,30368938,45421126,62993090,230082582
08/20/1964,8440249,6828622,9022913,13126984,22328934,31367283,30343916,45380685,62930550,229898094
08/21/1964,8418002,6783208,8996035,13089870,22269005,31320648,30197428,45285116,62683879,228626843
08/24/1964,8480642,6777067,9003070,13101651,22377783,31327705,30238995,45431484,62770887,228953725
08/25/1964,8466765,6764126,8999158,13080796,22347380,31288409,30249646,45324121,62763172,228311933
08/26/1964,8453644,6717949,8967842,13022863,22337251,31195647,30112722,45184819,62459778,226888325
08/27/1964,8431029,6715989,8932565,13002591,22267559,31201247,29798012,44886824,62380888,226545433
08/28/1964,8456389,6727394,8953544,13058394,22335994,31359718,30119997,45021808,62707452,227550084
08/31/1964,8479450,6766154,9005743,13079603,22402740,31420758,30170325,45173605,62892151,228188397
09/01/1964,8607797,6347027,10345429,12258753,19259295,33038993,32539312,40466524,66506042,227620525
09/02/1964,8614747,6397752,10393133,12330662,19266989,33211029,32805538,40652322,66922676,228461137
09/03/1964,8603498,6439414,10421492,12426031,19319199,33392158,32967987,40785261,67041108,228501173
