date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
08/01/1963,20127946,19123109,32846864,55921653,29952418,35905373,35630179,55651788,23327270,21172640
08/02/1963,20087986,19076182,32842280,56014244,30004728,35869015,35585282,55563065,23200314,21242659
08/05/1963,20163278,19101184,32985607,56066623,30143408,35929937,35693443,55737014,23336072,21378370
08/06/1963,20196587,19242439,33115558,56106502,30256094,36255492,35946657,56164160,23465949,21485229
08/07/1963,20308386,19292770,33272139,56593960,30530316,36436818,36055973,56463542,23599153,21623253
08/08/1963,20360840,19264847,33228217,56524151,30408142,36334909,35856159,56236431,23657880,21565311
08/09/1963,20334210,19299336,33308315,56599792,30479800,36487837,35847939,56381674,23690819,21529652
08/12/1963,20443803,19431301,33512640,56993818,30584542,36711466,36058137,56616355,23829577,21694751
08/13/1963,20485153,19483624,33594736,57165004,30626784,36717460,36015556,56432353,23850987,21931260
08/14/1963,20596248,19498700,33735356,57166380,30676767,37051950,35206750,56489493,23976619,22108944
08/15/1963,20596393,19454330,33916067,57468051,30757626,37150035,36033408,56890681,24041480,22160240
08/16/1963,20684103,19571906,34049996,57763263,30815791,37147584,36512659,56982740,24178158,22328209
08/19/1963,20664795,19610675,34198907,57819186,30918790,37142150,36587574,56963574,24246020,22294299
08/20/1963,20627365,19562409,34167723,57884695,30840278,37185268,36423781,57045678,24259606,22283732
08/21/1963,20626049,19623303,34089963,57794654,30838467,37037427,36398421,57109976,24234832,22243749
08/22/1963,20682707,19556276,34094821,57547710,30719458,37086363,36167109,57030619,24285860,22234704
08/23/1963,20812403,19559777,34093021,57551205,30839955,37291737,36611107,57171902,24276713,22358247
08/26/1963,20943645,19620332,34162745,57789511,30890079,37280734,37093151,57291464,24274874,22384289
08/27/1963,20965765,19712094,34218626,57830898,30883841,37392658,37208992,57352316,24269029,22503840
08/28/1963,20902839,19656936,34019873,57293452,30801303,37083087,36977277,57242824,24267868,22363002
08/29/1963,21010445,19690979,34269360,57721658,30995473,37364258,37308053,57587609,24400628,22618351
08/30/1963,21095690,19795702,34285812,57772977,30981704,37434412,37336818,57734683,24490616,22600161
09/03/1963,23170078,51028129,31035133,38459243,34550501,21730255,34757305,57309466,26842414,15860009
09/04/1963,23256437,51040690,30991930,38520631,34712220,21745089,34942707,57524035,26839877,15900520
09/05/1963,23277641,50815300,31038110,38615061,34756333,21748430,35011128,57487843,26864036,15962869
09/06/1963,23282755,51060376,31097852,38915823,34910232,21789921,35191948,57673979,27057595,16057377
09/09/1963,23180701,50958782,31022332,38911055,34825257,21659462,35309125,57655597,26912800,16002564
09/10/1963,23147619,50847434,31009498,38808774,34606507,21489711,35121526,57580335,26887292,15905165
09/11/1963,23212942,51046996,31119445,39033938,34767003,21584740,35310454,58194127,26902326,15931436
09/12/1963,23266266,51200557,31106942,39152670,34906595,21596486,35392496,58385392,26929022,15994009
09/13/1963,23249604,51196838,31048641,39085859,34930360,21597683,35422976,58262342,26871953,15982087
09/16/1963,23238972,51122459,31091135,39102362,35008770,21623816,35432214,58084045,26862511,16025765
09/17/1963,23192245,50921880,31003158,39034254,34733966,21609984,35411497,58247664,26918880,16046283
09/18/1963,23184792,50895279,30960818,39085117,34692889,21679782,35416223,58447352,26912600,16035728
09/19/1963,23025695,50931058,30889651,38760492,34527704,21552017,35199119,58119152,26903950,16016614
09/20/1963,23063446,51095116,30980465,39049006,34772975,21733258,35399150,58531869,27028071,16065286
09/23/1963,23015732,50968270,31004353,39156929,34673079,21772226,35471864,58871812,26953133,16037571
09/24/1963,22818398,50874990,30868826,38956047,34659193,21688152,35311500,58398275,26868514,15953595
09/25/1963,22830078,51854878,30907371,39048082,34729179,21631687,35483009,58422836,26854948,15977116
09/26/1963,22619521,51737300,30701664,38795623,34537868,21456895,35207196,58317004,26792834,15886694
09/27/1963,22471686,51460140,30519623,38570214,34254766,21235042,34832410,57609300,26700584,15840182
09/30/1963,22459047,51454943,30392174,38492652,34281917,21181980,34673414,57284422,26688565,15785272
10/01/1963,9774099,25573047,20628286,29243048,70107389,25998856,49719503,43579545,41370376,15491398
10/02/1963,9785015,25622625,20728875,29351052,70675483,26088714,50067247,43902737,41916191,15605027
10/03/1963,9829673,25634837,20763151,29334891,70513088,26119810,50093029,44101103,42249785,15657758
10/04/1963,9871019,25706679,20964714,29434739,70777118,26329478,50535653,44376770,42571773,15730498
10/07/1963,9863340,25685105,20951004,29375852,70484575,26351509,50721022,44657829,42458563,15725919
10/08/1963,9830501,25684120,20836842,29341006,70148652,26237864,50920457,44615550,42266790,15661220
10/09/1963,9822610,25627135,20806693,29282714,70033470,26242765,50625100,44429028,42542392,15687885
10/10/1963,9792553,25580006,20610623,29244231,69787697,26051978,50392992,44092161,42266350,15573392
10/11/1963,9833850,25552536,20583598,29230452,69863737,26089108,50413433,44001940,42384597,15594171
10/14/1963,9838689,25579286,20588491,29290264,70015130,26080971,50612263,43842998,42296976,15593487
10/15/1963,9808525,25580234,20582323,29240831,70092112,26076735,50741192,43903156,42276274,15619225
10/16/1963,9782258,25640433,20596353,29245410,70094857,26129179,50927340,44023233,42238050,15680062
10/17/1963,9848469,25618786,20709786,29377230,70801658,26225052,51609506,44543569,42733023,15893026
10/18/1963,9845767,25695011,20672837,29240185,71036698,26258734,51865221,44286143,42739477,15905283
10/21/1963,9882014,25759992,20624265,29430583,70933830,26259567,52019496,44408702,42652105,15921961
10/22/1963,9856502,25971651,20625182,29430882,71080756,26250196,51897239,44380249,42518470,15994769
10/23/1963,9708324,25896403,20421861,29419214,70449903,26044889,51423782,44274429,42354871,15959295
10/24/1963,9853528,25871257,20405108,29390470,70677874,26062631,51632708,44063538,42264377,15966874
10/25/1963,9877188,25889714,20374772,29377803,70662047,26143993,51890939,44303188,42688499,15979994
10/28/1963,9895496,26018436,20344869,29447920,71700625,26298135,51986485,44636704,44201054,16013995
10/29/1963,9926840,26153137,20394048,29458460,72266937,26326218,52009897,44841910,45150515,16034893
10/30/1963,9871856,26041545,20426721,29568615,72309210,26349195,51807367,44622136,45623112,15947630
10/31/1963,9824672,25961179,20263428,29430990,71680297,26339286,51201664,44203121,44863052,15846814
11/01/1963,18741754,36306512,35404674,74028495,31252295,44235216,42194683,30036214,12886114,16094988
11/04/1963,18754695,36287115,35266081,73610067,31255217,44028271,42283858,30068081,12885750,16124830
11/06/1963,18640696,36457395,35149687,73439252,31169575,43569888,42008126,29913070,12866546,16045209
11/07/1963,18546010,36048229,34927459,72720167,31158455,43129549,41453947,29744870,12771347,15913321
11/08/1963,18603162,36149155,34903426,72810789,31201006,43373617,41683627,29830488,12808293,16035437
11/11/1963,18636957,36253056,35091240,73415904,31325877,42801907,41885513,29889424,12822410,16082778
11/12/1963,18627997,35932899,35102163,73635882,31220983,42785050,41951285,29966059,12813844,16178611
11/13/1963,18570424,35741184,34989135,73375111,31220304,42646356,41848533,29822775,12792858,16098549
11/14/1963,18519038,35587097,34924450,73782123,31282241,42572871,41804299,29835953,12766390,16065431
11/15/1963,18487469,35339065,34910196,73393367,31280118,41995692,41623357,29779775,12772071,16066569
11/18/1963,18427607,34923982,34722955,72894551,31148548,41465133,41386673,29601818,12747132,16000474
11/19/1963,18326304,34535113,34569048,72326330,30961646,41373336,40933299,29397458,12703447,15886847
11/20/1963,18342202,34796903,34555343,71956170,31157851,41787016,40941359,29357472,12728998,15908480
11/21/1963,18325520,35268114,34668406,73920589,31429633,41832517,41150357,29427808,12774755,15893977
11/22/1963,18162576,35083390,34269548,72865119,29687140,40992428,40928786,29330171,12678696,15656833
11/26/1963,17154717,34335585,33246634,70646924,28979315,39900637,39747430,28718722,12440487,15204444
11/27/1963,18140157,35142511,34472925,73628225,29995866,41707328,41081728,29540814,12656919,15744127
11/29/1963,18116400,35133114,34370748,73637082,29942821,41627971,40928642,29396452,12634963,15717628
12/02/1963,10074116,16720355,47543212,26221693,34474789,45530038,27294773,62414422,21833657,39581486
12/03/1963,10036494,16780434,47981441,26353476,34550266,45780615,27421737,62856502,21925665,39831413
12/04/1963,10079853,16753323,48143523,26359336,34475208,45785139,27351104,62848599,21914884,39658165
12/05/1963,10017153,16812875,48199402,26297048,34551658,45745563,27493506,62965877,21947115,39790810
12/06/1963,10042516,16853453,48851731,26306600,34741861,46155504,27744201,63371770,22103971,39889881
12/09/1963,10064590,16816161,48689675,26287381,34744155,46009611,27736464,63099846,22216861,39432762
12/10/1963,10076743,16758303,48502340,26224335,34672743,45730176,27747715,63260546,22292745,39593950
12/11/1963,10092226,16753190,48619947,26278125,34802428,45795094,27699813,63161811,22333750,39713970
12/12/1963,10133764,16755993,48425612,26282166,34833552,45755582,27783052,63076012,22247427,39480473
12/13/1963,10131641,16757109,48409241,26300520,34895127,45572745,27797614,63089595,22361823,39414906
12/16/1963,10143108,16757330,48569340,26373703,34976170,45606519,27781624,63143417,22449930,39466811
12/17/1963,10173595,16786110,48963236,26395117,35001985,45786323,27842167,63107888,22528565,39681762
12/18/1963,10191585,16765713,49078457,26456174,35123522,46148307,27931394,63172605,22616680,40297272
12/19/1963,10213555,16810713,49162259,26575257,35109423,46160427,27896171,62952863,22621731,39695518
12/20/1963,10187392,16766778,49031840,26583215,34882238,46227243,27847032,63034629,22520131,39471417
12/23/1963,10146669,16718315,49291355,26515253,34793026,46283571,27843805,62932666,22445986,39021614
12/24/1963,10087185,16687487,48979144,26325454,34618660,46106399,27661268,62720048,22296054,38731338
12/26/1963,10062778,16702245,48657237,26469935,34570809,46065114,27699912,62843070,22304448,39439063
12/27/1963,10106252,16718533,48865525,26698822,34739423,46387424,27854120,62897513,22425982,39511427
12/30/1963,10096534,16769169,48964147,26809789,34821832,46529986,27989974,62968606,22466313,39219389
12/31/1963,10083334,16787209,48842467,26858362,34950784,46700307,28010793,63129264,22440559,39427688
01/02/1964,20361353,37783897,37990974,40776781,24469549,43025503,68994417,31383905,24380233,11847190
01/03/1964,20392659,37790081,37976095,40828240,24547931,43532892,70939448,31589509,24699061,11901859
01/06/1964,20380243,37990889,37992905,40987708,24570091,43486583,70762417,31651417,24926434,11933766
01/07/1964,20367318,38116424,38041319,41100674,24613460,43311138,71263208,31759461,25009043,11944020
01/08/1964,20304145,38422057,38131400,41278149,24618551,43121041,71259649,31759030,25053291,11979931
01/09/1964,20370138,38420012,38177032,41307452,24711647,43415851,71698680,31851395,25112454,12003086
01/10/1964,20366436,38386957,38163711,41514564,24707065,43746640,72189533,31838297,25151195,11983864
01/13/1964,20357130,38339240,38006129,41566641,24681615,43459841,72342467,31863559,25105721,11982758
01/14/1964,20375622,38099196,37994010,41633354,24711948,43247065,72418739,31856627,25122359,11920593
01/15/1964,20367413,38039912,38033257,41747838,24693833,43394966,72473845,31861537,25276853,11911340
01/16/1964,20386472,38054400,38161655,41714193,24713409,43484480,73377433,31986504,25282672,11905301
01/17/1964,20388389,37933160,38108288,41762258,24805426,43373768,73167050,32226527,25253473,11876766
01/20/1964,20252491,37775307,38139348,41715237,24760129,43302458,73559396,32257740,25251721,11842961
01/21/1964,20069135,37870221,37914663,41693400,24686393,43147179,74198973,32171528,25107314,11839291
01/22/1964,20149077,38118628,38098170,41788379,24688627,43177112,74039836,32533577,25208920,11844757
01/23/1964,20204601,38477666,38134239,42161094,24877629,43355040,74269930,32629724,25421464,11883183
01/24/1964,20201585,38581982,38323599,42172357,24884728,43280565,74070494,32649749,25467004,11875947
01/27/1964,20228922,38555880,38388080,42095229,24873164,43646432,74093243,32522048,25426629,11893347
01/28/1964,20215981,38875127,38437916,42172373,24856785,43599297,73892656,32608645,25370489,11892166
01/29/1964,20200230,39324533,38486432,42147747,24827049,43573951,73577925,32682088,25279115,11875041
01/30/1964,20192011,39120692,38370965,41966701,24619220,43410310,72879937,32519707,25080427,11868298
01/31/1964,20147933,39043192,38498799,42037424,24664219,43635936,72931150,32315527,25079194,11858883
02/03/1964,14091019,23021817,55990566,25068896,35896912,48330716,82815329,22339481,29509213,20486593
02/04/1964,14089589,23039254,55926323,25102277,36059110,48088658,82732290,22342507,29529074,20533734
02/05/1964,14058290,23117442,55758081,25102710,35960327,48033576,82713303,22317600,29483714,20601840
02/06/1964,14072017,23103809,55379662,25081786,35976081,48057494,82604383,22293343,29513464,20575734
02/07/1964,14069862,23189124,55438933,25076694,36017763,48096871,82879821,22316303,29563438,20612006
02/10/1964,14080693,23225426,55701218,25111164,36212542,47892877,83433891,22424163,29729375,20617146
02/11/1964,14067940,23147341,55543551,25105032,36125318,47873809,83220426,22401540,29632446,20601338
02/12/1964,14075588,23212097,55686964,25131043,36217173,47888312,83966000,22392596,29742191,20645757
02/13/1964,14122191,23206981,55613260,25121547,36129294,48008965,84739730,22405995,29922228,20673681
02/14/1964,14130246,23191902,55708508,25110211,36245632,48045972,86097744,22476816,29928018,20645834
02/17/1964,14105504,23134409,55575107,25139580,36371860,48030197,85798754,22429861,29964133,20747086
02/18/1964,14087393,23131127,55983902,25106927,36580219,47963189,85487511,22390573,29803440,20729214
02/19/1964,14069282,23088030,56215648,25129856,36615287,48085340,85265989,22446624,29721991,20736921
02/20/1964,14108508,23089433,56342340,25164801,36672758,48433353,84918496,22443161,29782555,20778010
02/24/1964,14110897,23039401,56252548,25209246,36755431,48758567,84805096,22494242,29813404,20792560
02/25/1964,14164477,23031394,56399423,25229867,36761329,48874349,84767235,22588956,29859812,20864528
02/26/1964,14166046,23040635,56298192,25194672,36772165,48800277,84878601,22547375,29869966,20835495
02/27/1964,14173644,23122501,56383602,25285997,36904855,48861088,84958873,22583056,29896197,20871286
02/28/1964,14135696,23159067,56104422,25264179,36662526,48709626,84719797,22561270,29894290,20903084
03/02/1964,17405483,23703907,25001569,39705383,59243285,27262123,29596056,79115798,42193526,22849725
03/03/1964,17494049,23726700,25076085,39706025,59246889,27412252,29569360,79247397,42379601,22962898
03/04/1964,17459979,23749078,25121541,39778694,59329366,27535730,29481897,79716464,42732553,23070761
03/05/1964,17346395,23709361,25096977,39899207,59308002,27378158,29483134,79322378,42770595,23040208
03/06/1964,17386060,23673300,25109390,40024021,59327882,27298578,29548605,79166984,42586735,23043436
03/09/1964,17400011,23698393,25170172,40242970,59474749,27282569,29683437,79349237,42773898,23120423
03/10/1964,17458223,23676979,25175265,40221053,59353287,27335890,29768312,79091144,42971424,23165369
03/11/1964,17493815,23673646,25178888,40346668,59466561,27322550,29848763,79179485,43493908,23199878
03/12/1964,17503044,23738784,25248187,40435820,59485801,27433215,30077464,79989997,43691645,23287869
03/13/1964,17504675,23868903,25394315,40327681,59738364,27431037,30163834,80210374,43695253,23244165
03/16/1964,17476759,23877566,25517928,40239191,59923965,27572912,30166635,80218836,43661122,23226466
03/17/1964,17485190,23907368,25500995,40428304,60162161,27519740,30214952,80127678,43536530,23205019
03/18/1964,17472463,24002830,25517685,40599020,60361598,27545209,30246015,80022029,43641246,23317580
03/19/1964,17507390,24026151,25672225,40844254,60453044,27614424,30249707,79862540,43495339,23382500
03/20/1964,17496359,24018817,25740353,40827971,60583393,27591115,30150861,79694801,43444801,23380223
03/23/1964,17452673,23967661,25696762,40580124,60290012,27476074,30052439,79251097,43106141,23340780
03/24/1964,17426092,23880717,25727601,40582616,60305701,27385704,30059534,79551100,42952976,23285566
03/25/1964,17369036,23908819,25701388,40372610,60120956,27415017,30072604,79317625,43061553,23291604
03/26/1964,17351492,23913246,25748818,40361656,60115940,27589517,30187736,79503110,43206377,23387917
03/30/1964,17375447,23977776,25819403,40353411,60106542,27680353,30360317,79496179,43476583,23511169
03/31/1964,17353710,24066961,25880239,40258037,60022906,27630065,30387865,79539993,43217982,23511059
04/01/1964,16277111,19374430,30753288,30238914,30957534,64697061,74138002,52645014,37155522,13696079
04/02/1964,16318715,19356285,30849569,30327287,31030261,64863195,74393475,52749926,37297512,13751530
04/03/1964,16355938,19432703,31005203,30433898,31124258,65295976,75048704,53063216,37342235,13830023
04/06/1964,16415888,19478172,31063548,30437709,31244384,65786778,74912630,53132942,37634401,13808370
04/07/1964,16423172,19542640,31074301,30474611,31157392,65875892,74670999,53210001,37643520,13880896
04/08/1964,16417011,19518293,30971497,30237247,31103326,65839744,74535683,52892263,37492780,13870791
04/09/1964,16386264,19511313,30855027,30255074,31111895,65784100,74358424,52899804,37574118,13831452
04/10/1964,16348901,19498864,31160631,30194454,31042215,65919854,74265491,52892886,37492999,13870059
04/13/1964,16370469,19507673,31214754,30162979,30978172,65874648,74379638,53315724,37519397,13958341
04/14/1964,16347720,19520150,31242334,30134312,31023265,65810982,74447286,53080850,37483623,13939642
04/15/1964,16323208,19536144,31183725,30166709,30981701,66176274,74891920,53070065,37482926,13987580
04/16/1964,16354826,19587012,31198672,30227957,31007608,66174210,75052519,53265935,37563777,13993689
04/17/1964,16371132,19603147,31156850,30290996,30970527,66132495,75322035,53297712,37687947,13867129
04/20/1964,16421707,19707565,31138493,30432328,31035273,66315090,75955074,53586002,37862019,14046523
04/21/1964,16454146,19695747,31172696,30424571,31039088,66263357,76337851,53331532,37809050,14063890
04/22/1964,16468851,19686980,31127596,30411611,31007504,66413595,75987602,53704833,37865494,14072760
04/23/1964,16458450,19664415,31100698,30404988,30896654,66254477,76105074,53829734,37782996,14071848
04/24/1964,16451917,19624375,31026548,30261138,30845086,66689211,75934890,53637463,37752613,14079365
04/27/1964,16362240,19587055,30841987,30067703,30603054,66187822,75133513,53338258,37590818,13955241
04/28/1964,16284849,19514066,30669348,29825809,30519286,65797893,74721308,53175165,37338937,13883714
04/29/1964,16348150,19592180,30757834,30127712,30624146,66355792,75151522,53555502,37548171,13974561
04/30/1964,16308863,19539239,30742981,30069971,30459673,66720728,74565037,53403955,37322155,13941846
05/01/1964,12179962,50962708,28204061,21236772,55682754,32726146,27497362,60015821,60878958,26366267
05/04/1964,12186277,51727528,28406470,21313850,55771303,32945380,27577211,60420196,61584726,26521812
05/05/1964,12194724,51707177,28394848,21401473,55846071,33130392,27633237,60960106,62226686,26623521
05/06/1964,12169083,52150858,28419274,21560020,56157405,33143098,27655564,61264701,62526221,26708002
05/07/1964,12196637,52423762,28390811,21491742,56576568,33176041,27674305,61282791,62308160,27015596
05/08/1964,12210867,52563503,28398900,21443574,56420198,33218041,27802034,61282015,62296308,27249689
05/11/1964,12228530,52470530,28398781,21435995,56156257,33157934,27836090,61182390,62253282,27175556
05/12/1964,12250222,52137832,28460933,21406227,56066341,33149199,27870035,61231202,62159031,27118085
05/13/1964,12243170,52738548,28554426,21396673,56194217,33344565,27907541,61205863,62227996,27232987
05/14/1964,12221988,52538864,28431412,21334649,56144540,33302968,27909972,61123215,62144849,27105934
05/15/1964,12187827,52431639,28466066,21225942,56020625,33215865,27931401,61204580,61946129,27040564
05/18/1964,12195234,52385641,28519584,21332137,55962695,33226066,27956514,61596788,61934251,27052676
05/19/1964,12167918,51999130,28317417,21194977,55915158,33238852,28031422,61185269,61634609,27019939
05/20/1964,12099447,51375290,28176500,21231328,55861696,33004823,27956173,60939616,61736792,26810729
05/21/1964,12126200,51771317,28234667,21240793,55903666,33212412,28005687,61096817,62195801,26889536
05/22/1964,12126357,51757749,28193086,21236896,55881394,33310763,28108273,61099412,62445198,26810196
05/25/1964,12030845,51698751,28157385,21254397,55909429,33441653,28134998,61014494,62592336,26753354
05/26/1964,12104165,51877118,28163694,21172132,55610303,33471358,28114442,60878067,62151476,26689399
05/27/1964,12106544,51861273,28070989,21161207,55444279,33538855,28046144,60754233,61873582,26762117
05/28/1964,12110476,51888944,28013824,21172931,55367615,33481948,28026700,60754150,61658573,26850517
06/01/1964,19463903,55990492,25205902,51052585,27933986,62007075,26243677,67114750,24726983,20792170
06/02/1964,19404843,55886801,25189496,50996440,27907499,61863099,26281300,66460380,24659415,20877001
06/03/1964,19279732,55623260,24942301,50783954,27771278,61506267,26212908,66353653,24532986,20844041
06/04/1964,19186634,55556503,24833589,50487229,27693018,61425895,26130716,65991418,24522878,20825582
06/05/1964,19048349,55057126,24590931,50181757,27494063,60600375,25953976,65130457,24356720,20780473
06/08/1964,19078170,55239475,24752092,50452338,27583680,60857110,25984410,65336125,24525928,20825515
06/09/1964,19058650,55188730,24658110,50100790,27430210,60448698,25828636,65168599,24515461,20783275
06/10/1964,19123859,55177814,24788546,50526203,27387856,60682448,25976049,65735739,24555383,20897453
06/11/1964,19167515,55236169,24915128,50867124,27507024,60949071,26069496,65806036,24569828,21061389
06/12/1964,19129154,55247007,25012819,51248302,27487939,61315683,26150153,65986679,24640775,21186445
06/15/1964,19147452,54691175,24941868,50844764,27602251,61193504,26158715,66011472,24638482,21245312
06/16/1964,19180994,55105481,25071601,50995817,27633738,61384324,26328467,66178172,24718757,21390666
06/17/1964,19257211,55341552,25141904,51413741,27743789,61512317,26437751,66638272,24824670,21435276
06/18/1964,19319699,55794350,25244772,51573093,27815094,61805249,26664290,67108843,24921796,21601886
06/19/1964,19395771,55717370,25279882,51682939,27947111,61686987,26617026,67297614,24993555,21495504
06/22/1964,19435402,55430153,25343418,51815474,28010107,61615028,26594335,67486044,25019896,21430001
06/23/1964,19417135,56064430,25221832,52028308,28050010,61741047,26629358,67724985,25028078,21470415
06/24/1964,19365277,55957708,25122908,51485859,28059634,61459881,26619064,67504557,24930981,21506046
06/25/1964,19335899,56646676,25162201,51448335,28129956,60707942,26695072,67618259,25007679,21481067
06/26/1964,19410235,57466255,25240554,51043929,28199516,61668009,26758747,67639895,25069472,21573438
06/29/1964,19485460,57830088,25139480,51412038,28268972,61724911,26778915,67589794,25192775,21550955
06/30/1964,19555169,58608139,25364876,51234106,28337498,61769675,26770746,67516374,25263902,21639224
07/01/1964,15308146,27925412,66914192,29064834,19548787,36907998,37863613,95959025,39219029,16727906
07/02/1964,15408921,28040363,67258909,29191807,20234868,37288902,38033699,96606377,39476672,16848747
07/06/1964,15406550,28160973,67369354,29202214,20348665,37458593,38138950,97316204,39709217,16867327
07/07/1964,15528122,28290641,67817187,29268241,20383799,37628948,38342089,97878145,39908641,16935592
07/08/1964,15535491,28282980,67849002,29371026,20432730,37741267,38402148,98055904,40072319,17025180
07/09/1964,15526639,28458871,67530683,29440860,20505976,37682357,38431923,98090337,40068550,17138672
07/10/1964,15547308,28457986,67661710,29493831,20565903,37755824,38458435,98216492,39933659,17234737
07/13/1964,15618661,28463129,67292892,29605730,20614475,37858255,38569295,98724870,39954597,17277308
07/14/1964,15692687,28484061,67081256,29623392,20639109,38023187,38411568,98632309,39922613,17248440
07/15/1964,15666713,28512990,66677779,29569796,20595534,37905437,38329354,98211746,39792303,17218553
07/16/1964,15741843,28568148,66988864,29503910,20558088,37970117,38460805,98957277,39956512,17226826
07/17/1964,15761883,28634900,67150702,29641959,20703760,38060495,38556195,99566232,39980324,17301862
07/20/1964,15829097,28757416,67266108,29750223,20828519,38256706,38829013,100283458,40139037,17309085
07/21/1964,15819755,28771666,66933968,29689964,20715940,38262145,38740533,99613671,40050751,17281501
07/22/1964,15783879,28697867,67022902,29599827,20752103,38142717,38688948,99217794,39927633,17249279
07/23/1964,15803977,28801572,66695240,29644825,20729577,38224340,38709518,99486517,39873455,17331171
07/24/1964,15767311,28771880,66773909,29547676,20748011,38111927,38805956,99508748,39822758,17336919
07/27/1964,15764057,28715882,66943791,29474801,20692226,38120212,38911769,99349095,39756379,17341309
07/28/1964,15712023,28661714,66520237,29363926,20610890,37894146,38879059,99007419,39516171,17317077
07/29/1964,15661860,28570138,66555634,29192016,20566526,37835693,38649325,98665391,39407912,17330947
07/30/1964,15708289,28701851,66309289,29234716,20609006,37978733,38563557,98833146,39550197,17447250
07/31/1964,15731741,28799710,66592539,29343732,20617002,38074219,38548247,98781696,39622309,17402252
08/03/1964,23967569,36048470,66816296,32293895,39732399,17859055,79286466,46864357,32761151,16943409
08/04/1964,23915740,35977195,66425564,32283887,39688518,17834732,79332636,46783340,32820828,16939342
08/05/1964,23596562,35616107,66160816,31906512,38906369,17669491,78141894,46222582,32582554,16723859
08/06/1964,23519393,35597740,66080671,32033648,39094307,17674309,78270145,46156790,32557452,16861130
08/07/1964,23459324,35340656,65567208,31857833,38723473,17572746,77463781,45559945,32373527,16683572
08/10/1964,23593944,35487060,66056660,31829754,38967771,17523888,77975089,45833242,32553517,16711204
08/11/1964,23554534,35614122,65920553,31844869,38953671,17666939,77759474,45753722,32711769,16722441
08/12/1964,23538887,35513390,65853409,31821941,38776425,17702092,77743110,45774536,32783963,16777449
08/13/1964,23666805,35676867,65917792,32041520,38939237,17745225,78243159,45945558,32907585,16818875
08/14/1964,23705888,35790736,65866145,32208061,39122641,17776878,78292959,46231863,33192776,16875306
08/17/1964,23677040,35840367,65894160,32202251,38869521,17761456,78340285,45972132,33095377,16864075
08/18/1964,23821311,35847267,65843766,32210963,38907157,17750415,78572408,45872622,33122665,16861519
08/19/1964,23754683,35860071,65846101,32141357,38918347,17773494,78758079,45803604,33162308,16935070
08/20/1964,23687059,35804144,65798283,32099278,38857717,17776080,78817607,46013123,33066302,16933070
08/21/1964,23594678,35666861,65713993,32024291,38509007,17809478,78266488,45844013,32909037,16904149
08/24/1964,23620883,35734716,65772758,32070962,38754804,17802327,78240249,45885585,32937563,16891953
08/25/1964,23531018,35673826,65668541,31993342,38579910,17752854,78144814,45656534,32938046,16927444
08/26/1964,23425293,35507751,65510316,31859346,38277470,17674095,77954984,45216491,32760318,16889839
08/27/1964,23339539,35426957,65387350,31863957,38163105,17625979,77914696,45118455,32455940,16870103
08/28/1964,23426829,35577984,65436298,31911251,38275337,17638217,78508734,45323306,32734888,16935425
08/31/1964,23464935,35556541,65440188,32036432,38457753,17668816,78986502,45359974,32816093,16999438
09/01/1964,17051613,27329591,43919217,62656851,31336714,26939188,43347154,35939363,72024689,24173077
09/02/1964,17174800,27440310,43974785,62834656,31542688,27218325,43374961,36107885,72396882,24283124
09/03/1964,17177937,27415290,44046992,62740473,31686734,27264277,43458735,36134701,72381368,24364189
09/04/1964,17199623,27456266,44120300,62730112,31881762,27391032,43560460,36238467,72758752,24446986
09/08/1964,17206755,27519266,44126107,62765177,31942384,27474779,43660843,36415470,72760407,24505816
09/09/1964,17223559,27560978,44145546,62753747,31975032,27539275,43687455,36574044,72867261,24595235
09/10/1964,17258612,27559237,44095381,62658269,32020737,27602422,43649501,36671660,73371662,24812930
09/11/1964,17270804,27516942,44068187,62569723,32038829,27552903,43641064,36798912,73345932,24916844
09/14/1964,17297526,27580136,44425506,62457310,32195500,27722100,43892429,36868045,73728549,24944043
09/15/1964,17253312,27504964,43958043,62342275,32136265,27763593,43716946,36804924,73756122,24939503
09/16/1964,17220101,27374313,43963835,61993048,32052057,27679923,43667847,36626252,73721107,24953330
09/17/1964,17232096,27426304,44211136,62189084,32114064,27793794,43734150,36700949,73776181,24968912
09/18/1964,17339064,27450451,44674779,62874743,32281798,27968550,43709935,36845014,74176734,25073243
09/21/1964,17301601,27501016,44134250,62722993,32054296,27874748,43725385,36845000,73850280,25042936
09/22/1964,17349468,27592386,44441356,62885147,32135985,28057439,43708899,36933730,74370124,25137065
09/23/1964,17363479,27628698,44470248,62846706,32147702,28087002,43856049,36839756,74335878,25182689
09/24/1964,17363110,27659054,44630129,62618699,32180253,28028743,43953295,36897647,74287763,25195458
09/25/1964,17332752,27596965,44558244,62522726,32192043,28090870,43924464,37157740,74550889,25230917
09/28/1964,17361309,27601848,44737054,62613175,32304098,28127824,43979383,37216736,74694339,25276329
09/29/1964,17366732,27528878,44607198,62593623,32344097,28173606,44136516,37251412,74782606,25340855
09/30/1964,17374486,27529573,44810417,62598780,32304696,28167267,44186309,37171097,74356156,25398630
10/01/1964,37012502,31480443,77393164,32540834,38193411,36009567,21896772,42013910,56838784,17481953
10/02/1964,36928424,31400477,77167155,32543230,38081322,35906164,21818582,42111426,56960058,17489780
10/05/1964,36899590,31380453,77734510,32532870,37440828,36065491,21882979,42273700,57050406,17520218
