date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,,,,,,,,,,-0.001240297
08/1963,,,,,,,,,,0.053179913
09/1963,,,,,,,,,,-0.012774598
10/1963,,,,,,,,,,0.0284314513
11/1963,,,,,,,,,,-0.005749547
12/1963,,,,,,,,,,0.0212629598
01/1964,,,,,,,,,,0.0255132416
02/1964,,,,,,,,,,0.0180921957
03/1964,,,,,,,,,,0.0172639265
04/1964,,,,,,,,,,0.0042593332
05/1964,,,,,,,,,,0.0164719619
06/1964,,,,,,,,,,0.0156794014
07/1964,,,,,,,,,,0.0203958749
08/1964,,,,,,,,,,-0.011588439
09/1964,,,,,,,,,,0.0297319841
10/1964,,,,,,,,,,0.0088019534
11/1964,,,,,,,,,,0.0026077474
12/1964,,,,,,,,,,0.0034662552
01/1965,,,,,,,,,,0.0380879534
02/1965,,,,,,,,,,0.0074224601
03/1965,,,,,,,,,,-0.009873351
04/1965,,,,,,,,,,0.0341594343
05/1965,,,,,,,,,,-0.004215138
06/1965,,,,,,,,,,-0.051172271
07/1965,,,,,,,,,,0.0174751224
08/1965,,,,,,,,,,0.0305805051
09/1965,,,,,,,,,,0.0316976121
10/1965,,,,,,,,,,0.0291393539
11/1965,,,,,,,,,,0.0033437228
12/1965,,,,,,,,,,0.0133569353
01/1966,,,,,,,,,,0.01071471
02/1966,,,,,,,,,,-0.008628024
03/1966,,,,,,,,,,-0.021195603
04/1966,,,,,,,,,,0.0247719347
05/1966,,,,,,,,,,-0.052260956
06/1966,,,,,,,,,,-0.010716123
07/1966,,,,,,,,,,-0.012716671
08/1966,,,,,,,,,,-0.074962954
09/1966,,,,,,,,,,-0.00650736
10/1966,,,,,,,,,,0.0433993226
11/1966,,,,,,,,,,0.0178835589
12/1966,,,,,,,,,,0.0051765091
01/1967,,,,,,,,,,0.0855387178
02/1967,,,,,,,,,,0.0112133021
03/1967,,,,,,,,,,0.0439849256
04/1967,,,,,,,,,,0.0421254037
05/1967,,,,,,,,,,-0.03984348
06/1967,,,,,,,,,,0.0264848875
07/1967,,,,,,,,,,0.0489462323
08/1967,,,,,,,,,,-0.005795103
09/1967,,,,,,,,,,0.0341323468
10/1967,,,,,,,,,,-0.0270533
11/1967,,,,,,,,,,0.0072045308
12/1967,,,,,,,,,,0.0330121627
01/1968,,,,,,,,,,-0.036092673
02/1968,,,,,,,,,,-0.032658897
