date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,0.3596795873,0.7258999245,0.3988514082,0.5510483123,0.4428334093,0.5108710277,0.5900296749,0.5549345585,0.7753733507,0.8246144534
08/1963,0.356770441,0.7359643633,0.3963828708,0.5465504931,0.4424053562,0.5118930234,0.5937197524,0.5510600649,0.7817928637,0.8555216795
09/1963,0.3356426217,0.6968789943,0.3796265254,0.5156205486,0.4211995158,0.4931238041,0.559734238,0.5259240098,0.7458730711,0.8093657838
10/1963,0.3387906547,0.719817335,0.3852721329,0.5310758033,0.4333163109,0.4869247631,0.5675637236,0.5272217792,0.7491543726,0.835647446
11/1963,0.2988580324,0.7157107737,0.3625195825,0.5282748361,0.429423904,0.4723065388,0.5606635922,0.5287618755,0.7499038904,0.8329612325
12/1963,0.3255252506,0.7207339645,0.3660627007,0.5319677832,0.4351568489,0.4598356878,0.5733645069,0.5414824644,0.7572081914,0.8343549503
01/1964,0.3230892828,0.6871150876,0.454634642,0.5218661254,0.4150625561,0.4513313829,0.5631820294,0.5275004769,0.7550768909,0.8169178413
02/1964,0.3197628973,0.6795097478,0.4177096105,0.5135565187,0.4070212808,0.4369773544,0.5523915165,0.5099194724,0.745715206,0.8084814885
03/1964,0.3182247371,0.6554660571,0.4139593397,0.4987326614,0.4022928956,0.4270015303,0.5536029123,0.5043138346,0.7274574807,0.7890642457
04/1964,0.3162864375,0.6502018572,0.4051601491,0.4916682079,0.3979474966,0.4285031861,0.5399779248,0.4911138619,0.7007500311,0.7675377208
05/1964,0.3041911351,0.6395412893,0.4147305141,0.494419557,0.3992354248,0.4245419049,0.5309634176,0.4909762419,0.6977840196,0.7670769534
06/1964,0.2986797908,0.6326006969,0.4109440055,0.4833844163,0.3977612605,0.4276463888,0.5330253227,0.4806050555,0.6912256217,0.7626686798
07/1964,0.4913128854,0.3536013861,0.3947205617,0.4818425406,0.4350972997,0.4774438979,0.5500933616,0.4908061516,0.7961031144,0.7971202882
08/1964,0.4752295535,0.3345366899,0.3859108474,0.4716095674,0.434671569,0.4658741511,0.5344815758,0.4811833054,0.7804903305,0.7889338115
09/1964,0.4719630912,0.3330956507,0.3991627571,0.4805523266,0.3848016769,0.4747517086,0.5397551495,0.4883212071,0.7823664614,0.7966793428
10/1964,0.4517982662,0.3227375359,0.3852337851,0.4663071301,0.3827729519,0.4553606391,0.5279971682,0.4708218458,0.7597452173,0.7646835186
11/1964,0.4462763999,0.3192400549,0.3780433886,0.458257158,0.3865791555,0.450615676,0.517579152,0.4729224208,0.7492491181,0.7562254929
12/1964,0.4522826272,0.3258734614,0.3762819295,0.4538740189,0.4018471971,0.4473610346,0.5136655004,0.4665769357,0.7504562942,0.7660615503
01/1965,0.4366396923,0.3162682468,0.3703608491,0.4491427465,0.3908907152,0.4491049405,0.513991409,0.4614181687,0.767798993,0.7809621248
02/1965,0.4154445782,0.3035870227,0.3581868254,0.4431930232,0.3783508638,0.4289060715,0.5078341777,0.4473390343,0.7290017256,0.7354191107
03/1965,0.4085504434,0.3072180715,0.3594953476,0.447153791,0.4352422968,0.4270316104,0.5138025504,0.4454754568,0.718972661,0.7031163928
04/1965,0.4177333127,0.306461985,0.3619956156,0.4557022688,0.4438994632,0.4357156666,0.5211534498,0.4523321897,0.7235279103,0.6976428286
05/1965,0.3955889239,0.2860902809,0.3546695568,0.4398651122,0.4347837198,0.4227609741,0.5149204885,0.4397659283,0.6901021082,0.6732153804
06/1965,0.3964471742,0.2977961966,0.3546032771,0.4449532724,0.4297374371,0.4267720634,0.5174124504,0.4417729289,0.6892909134,0.6861749143
07/1965,0.34466727,0.4094998264,0.5742073323,0.4293488238,0.4568999365,0.4895869121,0.5204859657,0.451267053,0.4849437859,0.6487650611
08/1965,0.3324984203,0.4028816918,0.5636845833,0.4294124858,0.446996723,0.4896546761,0.5270109011,0.4399852655,0.4731674876,0.6321163777
09/1965,0.3199580377,0.3827259781,0.5558161256,0.4153576488,0.4292270989,0.4827075318,0.5271780899,0.4371416323,0.45508379,0.6031527877
10/1965,0.3089558499,0.3650091486,0.5443795299,0.4011522006,0.4266322309,0.4714533484,0.5122083862,0.4209604697,0.4256218635,0.5848976251
11/1965,0.2969991614,0.3453209074,0.5288239298,0.3840457522,0.4385626929,0.4706250551,0.5030827276,0.4082127704,0.4169846985,0.5649219848
12/1965,0.2968631143,0.349254747,0.5268400676,0.3809888053,0.414068689,0.484018966,0.5072789965,0.4218751126,0.4219620015,0.5521549844
01/1966,0.2953659566,0.3378892811,0.5149448662,0.4264302811,0.4277941245,0.479648303,0.5043647219,0.4182615188,0.4123852117,0.5418227801
02/1966,0.2906133266,0.3309679434,0.5141420521,0.4271456132,0.4165306862,0.4837073672,0.5114464993,0.4209708178,0.4073588151,0.5193342165
03/1966,0.2867643406,0.3359370282,0.5139731522,0.4435486197,0.4318989194,0.4930797493,0.5305020118,0.4362512776,0.4158641766,0.521997087
04/1966,0.2882168164,0.3534054035,0.5277605004,0.4535560687,0.4385961405,0.5102603,0.5439776194,0.4545922136,0.4189172753,0.5379971547
05/1966,0.2731345872,0.3461031104,0.5531725787,0.447895718,0.4220509488,0.5070342427,0.5274612987,0.4570403554,0.4065206884,0.5232408785
06/1966,0.2857919971,0.3480792903,0.5883898722,0.4698091329,0.4474838003,0.5279045638,0.5563231433,0.4841823,0.4430447153,0.5648627966
07/1966,0.3679633717,0.3588624248,0.435332295,0.4231355737,0.3721638077,0.5596673783,0.6876808463,0.5348117212,0.5595333188,0.7253633644
08/1966,0.3678730317,0.3703364956,0.5515820487,0.4356091652,0.3751625256,0.5652562022,0.6892237405,0.5410362175,0.5603147842,0.744332927
09/1966,0.4217571117,0.4097714195,0.4591687618,0.4676083215,0.404531624,0.6121765988,0.7376876651,0.5857084869,0.6085717067,0.815298658
10/1966,0.4126519789,0.4145806164,0.4743157128,0.4682140795,0.4051525989,0.6293002218,0.7280580886,0.574926356,0.6163481111,0.8152356564
11/1966,0.4083772262,0.4104399603,0.4671284131,0.4515777019,0.3929784972,0.6017283215,0.6688036268,0.5312912118,0.5832909184,0.8044082046
12/1966,0.3801246736,0.4162893361,0.4744806126,0.4447966111,0.3774951506,0.6102588092,0.6964097461,0.5350268834,0.5787368048,0.7830162398
01/1967,0.3682674845,0.423151131,0.4515777638,0.4422803801,0.3774915849,0.6053241963,0.6929988822,0.5333969428,0.5586751069,0.7550392143
02/1967,0.3373961162,0.3805838818,0.5617481624,0.4025232454,0.3492249191,0.5636406517,0.6646872963,0.506705655,0.5212426083,0.6832844284
03/1967,0.3466076915,0.3907221832,0.5567814896,0.4040521249,0.3401825745,0.5706930519,0.6716076844,0.5313419855,0.5194774461,0.6754642635
04/1967,0.3870765179,0.3728614855,0.5233226477,0.3953055688,0.3251141357,0.5536745564,0.6520925952,0.5211388459,0.4980120178,0.6504937683
05/1967,0.3783533555,0.3385242438,0.5007709638,0.3686046099,0.4380342151,0.5308910814,0.6468232045,0.5135417254,0.4910627015,0.6458141341
06/1967,0.3505864376,0.3643456054,0.5225965127,0.3935894163,0.3215497108,0.5596106215,0.6810611585,0.540219042,0.4940378976,0.6524124326
07/1967,0.3339781262,0.3549601948,0.2663448197,0.3875158798,0.4689926957,0.6509000372,0.5228205999,0.7087409564,0.6487188052,0.596226514
08/1967,0.3089412793,0.3937292022,0.2611906487,0.36891442,0.4413923898,0.6518982297,0.4971419239,0.6749421753,0.6261264294,0.5475462067
09/1967,0.3165601224,0.3777759937,0.2644302051,0.3696152792,0.4458705989,0.671128326,0.5080997754,0.6872226401,0.6182985052,0.5518053249
10/1967,0.3016186344,0.384811593,0.2503020846,0.3575561658,0.4392995082,0.65624007,0.5035800517,0.66176754,0.5971388585,0.531062555
11/1967,0.3134683429,0.3613604093,0.2453763146,0.3713734525,0.440161734,0.6882794233,0.5339427277,0.6817562882,0.6306908397,0.5692734536
12/1967,0.3125573857,0.4267492341,0.3602695255,0.3750538764,0.4368259486,0.6877946704,0.5304031824,0.6801183824,0.6522937418,0.5812129489
01/1968,0.3002910329,0.3620565563,0.3395819425,0.3614968617,0.4188692332,0.6617974807,0.5086827258,0.6584180196,0.6048974552,0.5585592528
02/1968,0.3259336736,0.3793346968,0.242581318,0.3760907151,0.4303619748,0.6647824347,0.535685519,0.6529776805,0.6148381341,0.573271884
03/1968,0.3243431264,0.4040801627,0.2520381522,0.3931969782,0.4413089462,0.6909540046,0.5471718129,0.6741043276,0.624608761,0.5911091123
04/1968,0.333125787,0.3997386882,0.3740078708,0.3958422796,0.4357352182,0.6955525296,0.5541247943,0.6697496929,0.6362199413,0.6022540309
05/1968,0.3037047908,0.366302287,0.4424363995,0.3673392472,0.4373644002,0.6692599666,0.5189583731,0.6273434789,0.586202396,0.5524005477
06/1968,0.2962966475,0.3539519111,0.4399511076,0.3672013475,0.4314283537,0.6776923726,0.5190461368,0.6361547418,0.5803355759,0.55032169
07/1968,0.2568919101,0.4097376864,0.4378075362,0.5019951964,0.614608061,0.3759677557,0.5559197577,0.646636742,0.5584460207,0.8925077498
08/1968,0.2705004385,0.2604975747,0.4343676643,0.507847885,0.6022406485,0.3875631506,0.5679987416,0.653688003,0.5729347196,0.9366859613
09/1968,0.268367697,0.2598310706,0.4308923879,0.4907313691,0.5993711193,0.3846471466,0.5627736664,0.6397905279,0.5624346121,0.9296205175
10/1968,0.258286725,0.2561462337,0.4030218509,0.4666298719,0.5915805309,0.3713421516,0.5465591253,0.6107682466,0.5282059269,0.8531745744
11/1968,0.2533555814,0.2650163458,0.4081049765,0.4668004637,0.5759464793,0.3691884499,0.5387059584,0.599956842,0.5137692338,0.8407244838
12/1968,0.242020805,0.2486585476,0.3843954074,0.4481934344,0.543902588,0.3528166892,0.5058536418,0.5702500257,0.5154218699,0.8053145798
01/1969,0.2472570667,0.2521419594,0.3849892935,0.4548277712,0.5743135217,0.3611405823,0.513963761,0.5634145627,0.5296875325,0.7939277132
02/1969,0.2527228786,0.2638733627,0.3894731747,0.4585947567,0.5674806197,0.3609903027,0.5179488719,0.569634472,0.5279248002,0.802415902
03/1969,0.2669054589,0.2749543305,0.4078762829,0.4828896373,0.5923097041,0.3790879994,0.5444743007,0.6140532995,0.553251954,0.8730524641
04/1969,0.2667968088,0.2626697234,0.3912018903,0.4570340176,0.5806183492,0.3680204781,0.533776544,0.6049509604,0.5362514293,0.85125257
05/1969,0.2620706794,0.2567954994,0.3895843064,0.4562438373,0.5598827055,0.3584802501,0.5277562113,0.5926664129,0.5333185481,0.8169980486
06/1969,0.2672060847,0.2603105287,0.3840401306,0.457079588,0.5548918046,0.3583921334,0.5267603206,0.5945548505,0.5383794164,0.8421740454
07/1969,0.4566059616,0.3072096393,0.4542021098,0.4267766629,0.4517914912,0.6062647684,0.6235294651,0.603683828,0.7318200044,0.7176752545
08/1969,0.4923759375,0.3234232046,0.4807883052,0.454712058,0.4779559423,0.6486563232,0.6661321436,0.6505513051,0.7750418876,0.786667633
09/1969,0.4571902863,0.3042566756,0.4554000628,0.4447980198,0.4591169559,0.6312783255,0.6518250136,0.624976233,0.7545002331,0.7463687605
10/1969,0.4730808913,0.3111071305,0.4544305893,0.4454367909,0.4815153829,0.6566458885,0.6795064252,0.6526626933,0.7586368286,0.7601833311
11/1969,0.4510574609,0.2942246926,0.4283086593,0.4225853242,0.452059578,0.6238516205,0.6673837261,0.6330615733,0.7198524705,0.7097354023
12/1969,0.4684815784,0.2996681527,0.4392617199,0.4387717255,0.4773191556,0.6977236397,0.6921911221,0.6694278779,0.7423531905,0.7424349335
01/1970,0.458915412,0.2985015415,0.4456355947,0.4391103292,0.4637735448,0.7056290604,0.7113034481,0.6881797125,0.7658314423,0.7663978606
02/1970,0.5250262436,0.318708313,0.4810437633,0.4760449245,0.5069918488,0.7146613151,0.769235727,0.7367132345,0.804692583,0.8010058672
03/1970,0.4973859603,0.3113637473,0.462733228,0.4418822825,0.4860687266,0.7248147445,0.718559869,0.7048814566,0.7790208668,0.7497858088
04/1970,0.5130823755,0.3153740085,0.4703415281,0.4348015745,0.4959874705,0.6824606065,0.7064813402,0.6976044072,0.77625873,0.7606115854
05/1970,0.6011417225,0.3564678166,0.5351326314,0.4756257537,0.535197314,0.7495044874,0.7674150027,0.7649194003,0.8752934254,0.8731094545
06/1970,0.6539400512,0.3772515991,0.5970329091,0.5080326455,0.5758033529,0.7948421144,0.7865253624,0.7795413669,0.938991956,0.9767610629
07/1970,0.6773695615,0.6312364215,0.5724984579,0.6077564347,0.7391765255,0.8702184159,1.0064087142,0.8612982329,0.4765079733,0.8800565328
08/1970,0.6364072067,0.6033699871,0.5495705592,0.5689729183,0.6773589794,0.8058898583,0.9290808041,0.7868569267,0.463034397,0.8042132423
09/1970,0.6123966015,0.5773189351,0.5263232497,0.5407336089,0.6603359765,0.7802526442,0.8865509357,0.7450384301,0.4421385797,0.7632478862
10/1970,0.5686480334,0.5340643963,0.4995429449,0.5204971528,0.6514052812,0.7639547351,0.8804400578,0.7381031692,0.4149305592,0.7179929673
11/1970,0.5878318983,0.5442365656,0.516640626,0.5286887171,0.6679752019,0.7726866115,0.8855480677,0.7420884341,0.419007835,0.7397599653
12/1970,0.5681467808,0.5215396408,0.499178532,0.5183893326,0.634785992,0.7351015507,0.8391267183,0.7037224074,0.3990809674,0.7190688856
01/1971,0.511952512,0.480122565,0.4521108701,0.4793659588,0.5880912031,0.7140902116,0.7830976584,0.6670090345,0.3763125254,0.6904673404
02/1971,0.4678937473,0.4528357985,0.4183284523,0.458213178,0.5517518399,0.701401118,0.7516891615,0.6568420049,0.3620721244,0.6355473385
03/1971,0.4753748538,0.4405228109,0.4062115976,0.4569673463,0.5639636002,0.7021070896,0.7348680613,0.6472320585,0.3541131167,0.5963469436
04/1971,0.4457052486,0.4191431736,0.3943844982,0.4747485502,0.5684612112,0.693853491,0.7185885268,0.63151029,0.3378072895,0.5761790425
05/1971,0.4388632364,0.4056229875,0.381115629,0.4601445631,0.5551222722,0.6810114351,0.6916926962,0.6051510332,0.331765681,0.5392076729
06/1971,0.4475321837,0.4206707045,0.4001967434,0.4741775392,0.5795664738,0.7034107807,0.7246535858,0.6384359389,0.3502595141,0.5597284611
07/1971,0.3883345976,0.3404344179,0.5003235949,0.6624280788,0.6498262723,0.5574945232,0.4417777018,0.6967653939,0.6962909444,0.6190517091
08/1971,0.407467949,0.3490547794,0.5143593326,0.6796657795,0.6687042361,0.5721755452,0.4725806842,0.7236615807,0.7499582858,0.6544207584
09/1971,0.393374288,0.3385645571,0.5036751066,0.689309795,0.6581890319,0.5556566069,0.4480898273,0.6812400558,0.69941697,0.6036491057
10/1971,0.4127176485,0.3392616722,0.5095706352,0.6920410412,0.6635383097,0.5587948362,0.4489819562,0.6740744643,0.7145493341,0.6115560673
11/1971,0.4281822545,0.349843411,0.5343589794,0.7054431692,0.6799404926,0.5810759863,0.4705960142,0.7025598814,0.7830350706,0.6542458542
12/1971,0.4295447819,0.3559316571,0.5420562269,0.7162169787,0.6805055221,0.5850432187,0.4689962802,0.7087472107,0.8194065155,0.6550013488
01/1972,0.4288406652,0.3434243868,0.4844540117,0.6506810693,0.654917474,0.5250938045,0.4245626622,0.6550225286,0.7343396924,0.6161656324
02/1972,0.4140595663,0.3341106277,0.4740518484,0.6478439466,0.6604401022,0.5154463817,0.4024430076,0.6260353328,0.6858280273,0.5956276147
03/1972,0.3978678051,0.4073506049,0.4573261426,0.6362878845,0.6465699639,0.5054347989,0.4021625506,0.6004956658,0.6514223402,0.591015056
04/1972,0.4374891684,0.412370245,0.4600129995,0.6536205445,0.6547348575,0.49872161,0.3942047979,0.5841175311,0.6630040712,0.5710994701
05/1972,0.4311547643,0.4110068193,0.4591902615,0.6554605777,0.6621274654,0.5011121202,0.3872466965,0.580247595,0.6386089436,0.582923898
06/1972,0.4234289203,0.410666522,0.4721217493,0.6370036853,0.6410296785,0.4931970912,0.3844333929,0.5794068586,0.651883372,0.6038439622
07/1972,0.4492443351,0.5543445963,0.6074024229,0.474148892,0.6390235358,0.410209009,0.6073070459,0.7043917933,0.9274387829,0.7711529144
08/1972,0.4528554615,0.5716067003,0.6873715482,0.4921599586,0.6419248112,0.4057972906,0.6186078381,0.7106692397,0.9667319148,0.7969396022
09/1972,0.4406253823,0.5428645342,0.6480351005,0.4776366665,0.618663697,0.4016457001,0.6015962325,0.6876023282,0.9174721924,0.7741246237
10/1972,0.4460465055,0.5851134354,0.6546555643,0.4812477355,0.6157672651,0.4032282269,0.6040125873,0.7234861435,0.9496504531,0.7897000427
11/1972,0.4739029174,0.5893339993,0.63873073,0.4879910724,0.6083257105,0.3944145388,0.5998442148,0.7233703819,0.9572150168,0.8020506756
12/1972,0.4283345927,0.5591883056,0.5418804088,0.4651752146,0.5759312828,0.3816474256,0.5638172862,0.6810253242,0.9029415396,0.7702958765
01/1973,0.4425025545,0.5393652198,0.5365574196,0.4510775151,0.553445611,0.3717008619,0.5540435065,0.676824183,0.9145364676,0.7791257689
02/1973,0.4335848571,0.553243028,0.600106375,0.4480797022,0.5762400817,0.3890872132,0.5743056406,0.7022852105,0.9641775085,0.7872548058
03/1973,0.4822283953,0.5913891974,0.6347526218,0.4594363477,0.592527703,0.402741701,0.6066128148,0.7441817067,1.0365017786,0.8244969257
04/1973,0.4801981361,0.5622308013,0.5561394416,0.4596989692,0.5912332802,0.4040321583,0.6274563946,0.7546503819,1.0657734716,0.8506491985
05/1973,0.4968389391,0.5867267333,0.5772201862,0.4827200208,0.6127800031,0.4168813315,0.6544354639,0.7970044403,1.1297153559,0.8924952856
06/1973,0.5218453283,0.6159742404,0.5854230098,0.4969781313,0.6133529368,0.429376904,0.6667702306,0.8272962553,1.211546846,0.944632195
07/1973,0.5398693092,0.6349844966,0.3788289578,0.418023985,0.8020992323,0.6642601859,0.7373515627,0.6611978555,1.0011324583,1.1936092557
08/1973,0.4715682261,0.5987370223,0.3624307693,0.4094368715,0.7819082313,0.6375808367,0.7086333031,0.6328294093,0.945962003,1.110062572
09/1973,0.4801909826,0.6101946288,0.3651269851,0.4092099249,0.8318310269,0.6657118053,0.6711211479,0.657315665,0.9731013122,1.1538638463
10/1973,0.4507455009,0.5758372813,0.3531158493,0.4151916815,0.7618357131,0.6236742094,0.6970241086,0.6202454092,0.8798991898,1.0435421894
11/1973,0.451579731,0.58203033,0.3580716595,0.4219947351,0.778636233,0.6213352598,0.6970832444,0.6244158625,0.8518166223,1.0224972963
12/1973,0.5150478759,0.6852462753,0.41730833,0.4729506678,0.8745681499,0.6362501163,0.7059600537,0.7379347251,0.9516079921,1.1358080253
01/1974,0.5362710441,0.680600294,0.4119475843,0.4494286495,0.843270568,0.6167716043,0.7002733658,0.7337929534,0.8952182398,1.1265038054
02/1974,0.5269224039,0.664463016,0.417686054,0.4534260633,0.8330042778,0.6366847949,0.7157830384,0.7068508582,0.9054142632,1.075607366
03/1974,0.4870391308,0.6615076233,0.4204710771,0.4602140129,0.8269528283,0.6402267019,0.7244547461,0.7061402164,0.8980006555,1.0637595647
04/1974,0.4967557527,0.6670947153,0.4241799506,0.4663384614,0.8486621954,0.6507008971,0.7516024153,0.7305604419,0.9273696508,1.1125195984
05/1974,0.5456617728,0.6878658384,0.4379273081,0.484819181,0.8870952091,0.6814316226,0.7912714441,0.7601471318,0.9745609997,1.1790997333
06/1974,0.5938543596,0.6870288158,0.4359593642,0.4968482289,0.9204107547,0.794144562,0.8359282071,0.7803102641,1.0693316622,1.2642413654
07/1974,0.7046399748,0.9444574103,0.6665159391,0.7125335007,0.7397214222,0.5773191889,0.9235696115,0.921195905,1.3529263543,1.3767708333
08/1974,0.7447652065,0.9637974294,0.7192094607,0.7682361903,0.838728813,0.6402091158,1.0043558307,1.0088108064,1.4294983197,1.4682192116
09/1974,0.8106729799,1.0686114712,0.8091584326,0.8579188523,0.9121178298,0.7057694294,1.0657416802,1.1308205213,1.5554651642,1.6068458444
10/1974,0.9568805149,1.2166253546,0.9429570756,0.9632273374,1.0374136814,0.8229760904,1.1622836274,1.2531469339,1.6617648626,1.685046909
11/1974,0.8326893682,1.0412931624,0.798131696,0.7938285608,0.9374455058,0.7064563424,0.9920611875,1.1204668171,1.4480396811,1.5017360688
12/1974,0.8571235418,1.1119719952,0.8507494289,0.8384974819,0.9782270208,0.7375053299,1.0323778996,1.1592829287,1.4782159986,1.4972771135
01/1975,0.9090565228,1.1305225021,0.8850797515,0.8535496466,0.9895721321,0.7590082656,1.0427519758,1.1790205926,1.4948463201,1.5470615326
02/1975,0.7861402195,0.9912481895,0.7691069017,0.8134428004,0.8654009526,0.6569553552,0.9363814254,0.9944212199,1.2826782991,1.353351646
03/1975,0.7267746688,0.9498435546,0.7292446037,0.7888656651,0.791418521,0.6015810433,0.8870303045,0.9590806447,1.2266779292,1.3043724274
04/1975,0.6864243115,0.9300773498,0.7049797143,0.753349373,0.7619167788,0.5851338793,0.8757062473,0.8965309737,1.1634806175,1.232388089
05/1975,0.6208363011,0.8640824162,0.6604405928,0.6971473381,0.7230420477,0.5698091225,0.8681958893,0.8923183294,1.1161699076,1.212637933
06/1975,0.5890362165,0.8248845773,0.6291581338,0.6517548754,0.6979491584,0.5485504447,0.8324694861,0.8349292649,1.0745295146,1.0937486229
07/1975,0.7693885182,0.9225430162,0.7323359753,0.6984132111,0.6235479033,0.5443998898,0.581555802,1.0139523867,1.3183505472,1.0919228263
08/1975,0.8041998456,0.975313714,0.77508193,0.7440875716,0.6808901554,0.5980773763,0.6396253091,1.0672107219,1.3891191769,1.0853559321
09/1975,0.8186805335,0.9860711412,0.7836695701,0.7620242879,0.7092640401,0.615609427,0.6519751222,1.1110430804,1.4276223117,1.1392071734
10/1975,0.8313174282,1.0214893487,0.8331521863,0.7825832073,0.744518791,0.632321634,0.6846246479,1.1468635167,1.4970990082,1.1724478857
11/1975,0.8402962235,0.9847438217,0.7830183943,0.7224118698,0.6989477221,0.5715491379,0.6202463492,1.0720363085,1.3928250953,1.0981116048
12/1975,0.8568087202,0.9745518473,0.762595065,0.6972210016,0.6818280692,0.5484709288,0.5927613475,1.0311121821,1.3172532292,1.0742202352
01/1976,0.8522605167,0.9632222003,0.7687676223,0.7088521159,0.7027717996,0.5636164823,0.6150796942,1.044289293,1.3177409872,1.0684586633
02/1976,0.7834335323,0.829655332,0.674873292,0.6361274915,0.6180958454,0.4961474831,0.5537945105,0.9299595354,1.157329808,0.9252723916
03/1976,0.8059288613,0.8134621148,0.6692351511,0.6296279999,0.6245376623,0.5098956383,0.5575642104,0.9049652263,1.1143316853,0.8713022662
04/1976,0.769042573,0.8144599284,0.6735262547,0.6168183471,0.6215932424,0.4944689954,0.5304487846,0.8853322163,1.0860320842,0.8276604135
05/1976,0.7562726823,0.8190125234,0.6737221627,0.6224156935,0.6381759682,0.5037133301,0.5614678901,0.8885410257,1.084117737,0.8250197467
06/1976,0.7360094096,0.8336132556,0.6804700243,0.6316104605,0.6462622917,0.5083119073,0.5869654617,0.9187020728,1.153891931,0.8524276216
07/1976,0.6721957675,0.6202831195,0.6862438801,0.6454763878,0.6997020075,0.8422895117,0.8532133316,0.7842104259,0.9904050756,1.168318894
08/1976,0.6823855116,0.6192281953,0.6856345966,0.6458311827,0.7120394422,0.8418902224,0.8725868401,0.7954617088,1.0215963452,1.1787211513
09/1976,0.6858332925,0.6194562185,0.6901601233,0.6405156088,0.7148486846,0.8401032959,0.8824390524,0.8205256633,1.0508156782,1.2088393066
10/1976,0.6654873027,0.6049986873,0.6739643094,0.6208941457,0.6953900341,0.8209374689,0.8537507846,0.8132838782,1.0433346369,1.1848729773
11/1976,0.6847634845,0.6146059517,0.6894547186,0.6309304901,0.7113399168,0.8437709766,0.8804386866,0.8161738775,1.0789135353,1.2357247658
12/1976,0.6703103463,0.6111420035,0.6771757113,0.6396004339,0.7143350686,0.8486698146,0.8737529045,0.8185714084,1.0675681557,1.2305895085
01/1977,0.6500211383,0.5815787311,0.644742706,0.6109507027,0.6718764117,0.8035140889,0.7907265222,0.7584473144,0.9909889772,1.1711644294
02/1977,0.6631986376,0.611915591,0.6761903048,0.6314503907,0.7024974801,0.8291842769,0.8290386155,0.8011389532,1.0497254719,1.1642844828
03/1977,0.6808047418,0.6350093808,0.689495393,0.6411153971,0.7071919204,0.8486502309,0.851436192,0.8156293456,1.0690580337,1.1987783506
04/1977,0.6811144694,0.6326728392,0.6911479614,0.6524084762,0.7202374828,0.8624854876,0.8641818917,0.8152465263,1.0592364263,1.1917236693
05/1977,0.6700260973,0.6338536552,0.6921844044,0.6651250523,0.7223011844,0.8521516288,0.8369800894,0.7999353005,1.0475928119,1.1759114962
06/1977,0.674429285,0.634404455,0.6923049084,0.6775417578,0.7405938099,0.8703716083,0.8447172906,0.8257111371,1.0803007706,1.2333088988
07/1977,0.7352423871,0.8165077082,0.8785782584,0.8052294941,0.7777104822,0.79664256,0.8299286401,0.9391123326,0.9015165617,1.0303053945
08/1977,0.7472158486,0.8276424462,0.8917000384,0.8232203556,0.7784259491,0.8066235798,0.8434313516,0.9532499323,0.9380397513,1.0587038992
09/1977,0.7594302351,0.8550957263,0.910799576,0.8561298651,0.792099678,0.809450204,0.85868436,0.9554993945,0.9710552226,1.0822673294
10/1977,0.7424294963,0.8514843753,0.9154318804,0.8570321167,0.7844844265,0.8072475374,0.8691689452,0.9643610056,0.9636863072,1.0821317483
11/1977,0.7799812917,0.8818991853,0.9585665149,0.883341993,0.8131582196,0.8508983422,0.908966641,0.9982622027,1.0084549659,1.136381874
12/1977,0.7629061486,0.8483545479,0.9197156691,0.8597280814,0.7920971935,0.8020284956,0.8892321038,0.9691262923,0.9513495205,1.068786058
01/1978,0.7640165921,0.8473661171,0.9044650483,0.847904481,0.7734599697,0.7985609177,0.880225019,0.972576858,0.9395934183,1.0691757201
02/1978,0.8175248632,0.9141672563,0.964933235,0.9116522796,0.8139541337,0.8392277111,0.924493554,1.0294559683,0.9988071199,1.1058954733
03/1978,0.8238457464,0.9259656006,0.9892936691,0.9400297859,0.8230806691,0.8641014717,0.9555917332,1.0456880441,1.0090383972,1.1106623918
04/1978,0.7925519905,0.8843274928,0.9483538506,0.9066333733,0.8156325096,0.8491966177,0.9310994788,1.0295748036,0.9420155793,1.0657218209
05/1978,0.7280767341,0.8161125046,0.8794301414,0.8338130341,0.7602902635,0.7686814744,0.8682027005,0.9404227175,0.8708395608,0.9810028816
06/1978,0.7258262951,0.8014470822,0.8611290551,0.8270117297,0.767328865,0.7600125037,0.844919796,0.9198415275,0.843000503,0.9381660023
07/1978,0.7941571377,0.8433090236,0.831550462,0.7828139027,0.9023589209,0.9347039646,0.8889418347,1.0884920856,1.1918194541,1.1907788988
08/1978,0.75459988,0.7897387298,0.7853649692,0.7388627556,0.8485434281,0.8875418987,0.8490465586,1.0371598812,1.1245652123,1.1172225279
09/1978,0.7212602362,0.761579058,0.7553828847,0.7211343753,0.8276008416,0.8604168721,0.8279384333,0.9927626967,1.0835840822,1.0936722508
10/1978,0.7356534036,0.7658737661,0.7717994284,0.7257085279,0.831361588,0.8652941135,0.8359991197,0.9902643828,1.0969977558,1.0901797874
11/1978,0.875289352,0.8687068816,0.8810220351,0.8130881977,0.9202413766,0.9343357884,0.9411807372,1.1314856159,1.251324552,1.3502717767
12/1978,0.8228877627,0.8422514662,0.8530358773,0.7980683842,0.895076089,0.9214082371,0.9181688221,1.0902853913,1.2152931312,1.286664386
01/1979,0.8001423309,0.8250561329,0.836093281,0.7920219744,0.8686867371,0.891479346,0.913012635,1.0836925776,1.1921812673,1.2840209647
02/1979,0.7671426563,0.7830571018,0.7953363625,0.757000424,0.822559036,0.8636941975,0.868786636,1.0473438707,1.128024217,1.1776950333
