date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
07/1963,10051097,9581932,9286904,18886422,29875562,34598036,53637521,15657248,29645893,24680403
08/1963,9916695,9224163,9257457,18818689,30189476,34701925,53762818,15558530,29431883,24890871
09/1963,10547035,9882131,9816735,19897537,31514205,36043231,56228990,16992461,30700637,26434014
10/1963,10824062,9514002,9550890,19417088,30514144,35278594,56575319,17001720,30660289,26396047
11/1963,10827788,9677190,10038231,19947060,31185262,35140666,58388757,17250891,32817712,30051935
12/1963,10680723,9700144,9924895,19657553,30946153,34481391,59248092,17118716,32351419,27491687
01/1964,10792709,9691215,10025051,20518303,31459081,35726273,60397106,17510262,33544083,27467648
02/1964,11304788,9508465,10343519,20901771,34235622,36789234,62549491,17985585,35169463,27879006
03/1964,11501086,9861659,10508411,20945289,34651947,37137440,63523615,18644413,36377250,28019734
04/1964,11631019,10188598,10564724,21430650,35080098,37648317,64254791,19278241,38043162,28307563
05/1964,11790403,9939506,10273483,21192485,35862805,38573140,65311423,19021308,36935252,29398672
06/1964,12336088,9766871,10072959,21311092,36414920,38276458,65388927,19195524,38169698,29967691
07/1964,30312950,10591489,20916360,57704912,31324366,60214290,29957330,65172785,18777925,15660360
08/1964,31053396,10647286,21368530,59266234,31750815,61648149,30588052,64403106,19156034,16156308
09/1964,30756076,10477122,20695380,58582467,31098988,60031654,30214275,63015884,18826556,16401183
10/1964,31944190,10937490,21363263,60154243,32139932,62204131,31139637,63605126,19497311,17177055
11/1964,32380545,11041219,21753134,59809238,33123859,62718326,31143018,63701711,19705711,17102394
12/1964,30631133,11000857,21847080,58218280,33303075,63358180,31774433,62364856,19641822,17182206
01/1965,31425980,11415012,22077707,59164344,33683083,63886872,31694475,64266642,19462993,17322605
02/1965,32825019,11998885,23633489,62280846,34062625,64992441,33298436,65639566,20377050,17727839
03/1965,32820154,12464543,23919610,62134767,33672477,63899346,33702155,65836814,20911960,18005096
04/1965,32156094,12316901,23517345,62175997,32991674,62348506,33252486,64895418,20615496,17885321
05/1965,33991477,12973490,24366610,66077203,34049373,63700237,33943450,67239876,21199238,18968329
06/1965,34288425,12838195,24061039,63760008,33803291,63572354,33843591,68035419,21354263,18543130
07/1965,19379807,14153523,20010891,44791511,30921490,63497555,61029733,61492611,35156660,11225630
08/1965,19273817,14490779,20164029,45621167,31255898,64956320,61085312,62250660,36641345,11736767
09/1965,19843639,15068242,21133846,46578800,31776666,65961757,62028192,63937328,38473665,12154619
10/1965,19867389,15663073,21814461,48881984,32535872,69223327,64846024,65177779,39595759,12554969
11/1965,20025616,16419104,22717049,51892574,33162238,70611559,66608174,65868454,41090135,13408074
12/1965,20687448,17180463,23054339,49523500,32936178,70166983,66644278,63356736,42027123,13878120
01/1966,21869400,17456332,23994886,50592706,34497816,72061238,67057409,64604536,42293115,14194320
02/1966,21209704,17944045,24765692,51227823,34332539,72280859,67697837,65215987,43300373,15048724
03/1966,21113268,18182076,24447501,50175258,33928116,69853635,65617184,64891989,44888548,14851931
04/1966,20685134,17801333,24147052,48058940,33158547,68274435,64112639,62712815,44682626,14673718
05/1966,21399430,17716673,25111201,47692788,32979490,69827287,66170175,64518576,47088286,15278597
06/1966,20493383,16588838,23636063,44064406,31502533,65651402,62223910,61494406,44736220,13929235
07/1966,12597100,35969447,20020720,20415007,24912411,60445301,60757463,78244512,59388833,19998030
08/1966,12469543,33854086,19760253,19987392,24890823,60100389,59935614,77794623,58959157,19735981
09/1966,11409987,31831072,18346654,18325139,23187130,55413448,54424632,73154321,53927171,17584529
10/1966,11056034,30849042,17727876,18041750,22626487,53515416,55190841,73136239,53532228,17657387
11/1966,11046790,31881339,17954162,18403459,22944700,56044974,55999368,79132870,55246708,18219708
12/1966,11358047,33508137,18518656,18865237,24193105,55710740,54175039,76619176,59070604,19316402
01/1967,11721592,32192250,19398882,19686985,24221756,55831097,55326416,77854870,59047447,19663224
02/1967,13194532,35024596,21336358,21550391,26759898,60291880,60907009,81732523,64870634,21293270
03/1967,13606720,35153581,21833844,21767412,27600301,60613379,59958513,81357877,67088477,21125185
04/1967,14443049,36448812,23373901,23197124,29439832,62191068,62663663,84297858,70728892,22026599
05/1967,15012055,40171823,24664882,24254074,30261204,64220930,66490398,85286928,75285302,22589453
06/1967,14368223,37837984,23613833,23299509,29296303,61037950,62672924,80727153,72020891,21388512
07/1967,17732912,29591746,30296620,35867277,29722387,39157882,85132659,80608226,69623894,26060350
08/1967,18640797,31300830,31548293,38344742,31482563,41352167,88298193,87142848,69700283,27459717
09/1967,18194566,31562830,31234317,38476807,31039859,41294897,86727915,85534480,68352730,27175088
10/1967,18910667,33206696,32578956,39490627,32245102,42251064,91330333,88559613,69156542,28246189
11/1967,18662419,32267827,31292926,38799912,30561573,41368687,93075934,84936293,66799684,27079648
12/1967,18784392,32311516,31379823,39015163,30036228,41520007,94671481,83472892,66308015,26791636
01/1968,20268136,32890332,33532689,40420698,32152591,45279560,99331579,87292480,68022948,28317227
02/1968,18783932,30486397,30857079,36890637,30433412,42266149,94312519,84505190,67940489,27995151
03/1968,17640550,29269694,28937100,35199625,28580768,40490699,91800844,81957213,66063132,27246723
04/1968,18164020,29392662,29031026,35615252,28461555,40884031,95400584,81520441,66409273,26657802
05/1968,20608889,33547830,32956804,40103767,31467710,45097100,103432349,87327118,69816557,29518240
06/1968,21358079,33720157,33991088,40661129,32252216,46139560,105682157,88173227,69689807,30198166
07/1968,28537100,39138797,28010470,39563215,48525662,53744443,75991391,90950313,42065604,69273380
08/1968,26242089,36746195,27043991,38839491,46377589,53854962,76308489,89760290,41315299,66388348
09/1968,26200257,38102146,27451462,39445512,46532255,54591374,78152151,90851406,42031799,66421926
10/1968,27800690,39119429,28631401,41245177,49404537,58594246,80275013,94566928,43886778,67869202
11/1968,27690113,38490773,28771325,42049285,49392636,58643392,82142994,98021377,45458886,64590131
12/1968,30088697,40557643,30693549,44428123,51021378,61667688,85608347,100676451,47291590,69834011
01/1969,31636270,39876872,30386101,43686713,52375407,61178286,83187933,96471946,46976150,68109683
02/1969,30787021,39182688,29706765,43248381,51751269,60135583,82652916,96971777,46398287,65626123
03/1969,27768010,37079634,27759990,41148568,48698763,56283294,78714238,92590647,43557310,63479366
04/1969,28511905,37532580,28253420,42513734,50624146,59034687,82380966,95072087,43965925,66439689
05/1969,29210491,38541559,29077864,43089425,51634880,59104168,83230539,98987571,44157853,68413175
06/1969,28241363,38433970,28602520,42655912,52124046,59544752,84479557,98913543,43942028,67495856
07/1969,18261466,21088760,26330054,28679254,53010308,64592163,80245290,107822333,52439188,65641876
08/1969,16357611,19299404,24034379,26486449,50559528,61022623,73923603,102579016,47955146,61648415
09/1969,17891052,20595476,25504254,27348183,52465067,64061240,78027642,106813108,48983438,65363146
10/1969,17564339,20214244,25131948,26580194,52133521,63237592,73741546,102453128,48225078,64911561
11/1969,19168395,21696367,26719568,28622395,55066528,66245348,75218837,106800245,49833132,68848051
12/1969,18490312,20566657,25866625,27540652,53219895,63856477,72736792,103846306,47548295,66897811
01/1970,19167099,20528660,25792299,27060087,53695507,63917951,71602880,103265660,45926062,67556716
02/1970,17238735,18184572,23641286,24969648,50316601,58390929,64358265,96382324,42291852,62225043
03/1970,17906761,19661940,24434247,26568353,51608412,62471886,67273587,102406256,44685472,64483504
04/1970,17231304,19299649,23956337,26071389,51392104,63447786,67268650,101985948,44285887,64020570
05/1970,14200451,16543259,20754825,23027939,47334096,57834564,61775166,93129124,39926506,56081225
06/1970,12681949,14811686,18492538,21183268,44753037,53636044,59422481,87505462,37347699,52028551
07/1970,19874158,21017603,20208400,54109176,45263118,24665580,42109900,68171819,51525424,41090553
08/1970,20131532,21291025,21696554,55732033,48792940,27123760,45673293,73945296,56151476,44617094
09/1970,21634464,22594805,22854719,58186387,50657286,28276336,47716161,76858524,57433904,47295164
10/1970,24341851,24730667,24195164,62837492,52943122,29666883,49050150,78677108,58284624,48487409
11/1970,23362041,23604126,23271732,62626820,51786522,28602419,48328272,79693363,56355197,47895565
12/1970,23918167,24215066,24020057,65339897,54058891,29795662,50246099,83758577,58599072,50311766
01/1971,26461464,26906781,27455666,68912310,57116280,32545429,54189233,88301741,63177549,52806709
02/1971,28156167,28947256,28907867,72167984,61126906,34431813,55943360,88512973,68203076,55711271
03/1971,28957768,29562402,29468941,74016620,60908550,35533667,57115871,90468927,66627479,56678986
04/1971,30659972,31375178,31118947,77887566,63948428,36908082,58825983,94465633,67604199,58647277
05/1971,32403252,32884826,32815057,80085543,66356654,38439255,61651199,97660408,69376046,62813415
06/1971,31326120,31695960,31377845,75684111,64877545,37168247,59564146,93176974,65373930,59922169
07/1971,36285680,39213035,61533872,62952851,66399673,122090192,70869808,50523992,32044617,19545748
08/1971,34488819,36819806,58187093,60527340,64092135,117167588,68341390,48173827,30417272,18015256
09/1971,35907975,38335327,61957956,63578066,67244266,120209827,71419331,48687248,31880216,19051527
10/1971,36162670,38841456,61139444,62577325,66204816,120839718,71027821,48403441,31479797,18594321
11/1971,34214178,37516907,57598787,59394276,62298410,117519789,67357403,46501411,29570583,17429931
12/1971,33896636,37168534,58258618,59237651,61263517,118954032,66532978,45309501,29449986,17221469
01/1972,39612972,41457050,65070992,65824565,68101281,130861253,72110159,49828410,33227815,20114412
02/1972,41227092,42735688,67077661,67572737,67938851,135884204,73493241,50891143,34574562,21085831
03/1972,43147954,45477370,68844244,70251202,72627171,138892418,73798191,51093626,36141379,22191417
04/1972,43499776,45513849,69478268,71216430,72921902,139676510,74444464,51048503,35753917,21936234
05/1972,44691429,46465840,70636452,71379349,73677135,140022065,73785851,51270916,35955039,21993989
06/1972,44760802,47685696,72512957,72543536,74026691,145221075,72636479,51150397,35488671,22652639
07/1972,32889066,51411743,62192578,67908946,85488711,86886561,95408226,88943209,45094764,20245318
08/1972,31200843,52538004,62213735,67381040,86820566,85661228,94944473,88801296,44843305,19846690
09/1972,31055787,52165029,63103644,69020930,88960684,90818638,100047406,91437157,45168102,20595541
10/1972,30243669,51772627,62505981,68386133,89416632,91142799,98193779,90000538,44989633,19814258
11/1972,30258521,52272491,62410406,68382404,91382221,92824154,98262675,88122307,45586375,20008178
12/1972,31856756,54002392,65116170,71344550,94789698,97619472,105249172,91084710,46499179,20686346
01/1973,32994440,56196595,69443685,73783706,97973121,99879001,106304024,93995729,48384248,21093482
02/1973,29989397,55116503,66478992,71123677,96166507,99831105,103586576,96176508,46901157,19548399
03/1973,27976938,54517989,63278750,67935728,90945415,94731752,97569356,93000413,45982494,17973601
04/1973,27375296,54032873,59966055,66818132,93303610,95337835,97909028,92995443,45169277,17662410
